,stars,contributors,open_issues,closed_issues,commits,defect_proneness,topics,releases_count,project_name,useful_lines_of_code_(uloc),duplicate_uloc,classes,files,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,log_stars,log_uloc,log_commits,log_contributors,log_open_issues,log_closed_issues,log_classes,log_files,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count,overall_score_no_topics,architecture_score_no_topics,clarity_score_no_topics,complexity_score_no_topics,explanation_no_topics,benchmark_selection_no_topics,benchmark_count_no_topics
0,40365,164,501,3367,8089,31.524292248732852,"['monitoring', 'iot', 'metrics', 'notifications', 'docker', 'statsd', 'kubernetes', 'cncf', 'prometheus', 'containers', 'netdata', 'analytics', 'devops', 'time-series', 'observability', 'alerting', 'graphing', 'influxdb', 'grafana', 'graphite']",29,netdata/netdata,45977,2573,0.0,229,Core-Periphery,True,72.5,72.5,72.03,10.0,13.4,5.5962763990691,15.300817271248937,15.48862471280164,12.981745645634575,7.357552004618084,8.968666793195208,11.717248005827646,0.0,7.839203788096944,1.57,0.1,0.35,1.12,"{'useful_comment_density': 'useful_comment_density percentile: 34.82142857142857(+0.3482142857142857)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 53.57142857142857(+0.4642857142857143)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 34.82142857142857(+0.6517857142857143)', 'propagation_cost': 'propagation_cost percentile: 95.53571428571429(+0.04464285714285708)', 'core_size': 'core_size percentile: 94.64285714285714(+0.05357142857142861)'}",LOC,112,1.57,0.1,0.35,1.12,"{'useful_comment_density': 'useful_comment_density percentile: 34.82142857142857(+0.3482142857142857)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 53.57142857142857(+0.4642857142857143)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 34.82142857142857(+0.6517857142857143)', 'propagation_cost': 'propagation_cost percentile: 95.53571428571429(+0.04464285714285708)', 'core_size': 'core_size percentile: 94.64285714285714(+0.05357142857142861)'}",LOC,112
1,38185,238,1575,2171,7969,37.407453883799725,[],223,antirez/redis,92716,3599,2.0,460,Core-Periphery,True,16.3,42.8,14.634,12.8,28.1,3.8817464083869018,15.220718403268574,16.50053070576609,12.960182981831874,7.894817763307944,10.621136113274641,11.084144010615145,1.0,8.845490050944376,3.09,1.36,0.57,1.16,"{'useful_comment_density': 'useful_comment_density percentile: 56.666666666666664(+0.5666666666666667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 70.0(+0.3)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 14.444444444444445(+0.8555555555555556)', 'propagation_cost': 'propagation_cost percentile: 33.333333333333336(+0.6666666666666665)', 'core_size': 'core_size percentile: 31.11111111111111(+0.6888888888888889)'}",LOC,90,3.09,1.36,0.57,1.16,"{'useful_comment_density': 'useful_comment_density percentile: 56.666666666666664(+0.5666666666666667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 70.0(+0.3)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 14.444444444444445(+0.8555555555555556)', 'propagation_cost': 'propagation_cost percentile: 33.333333333333336(+0.6666666666666665)', 'core_size': 'core_size percentile: 31.11111111111111(+0.6888888888888889)'}",LOC,90
2,28744,64,0,0,54969,38.30704578944496,"['c', 'shell']",723,git/git,168210,1256,0.0,683,Core-Periphery,True,52.6,52.6,52.368,22.1,16.0,0.7466856905059153,14.810973220002165,17.359903950074834,15.746330613551946,6.0,0.0,0.0,0.0,9.41574176829009,1.49,0.2,0.18,1.11,"{'useful_comment_density': 'useful_comment_density percentile: 18.181818181818183(+0.18181818181818182)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 89.39393939393939(+0.10606060606060609)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 0.0(+1.0)', 'propagation_cost': 'propagation_cost percentile: 90.9090909090909(+0.09090909090909094)', 'core_size': 'core_size percentile: 89.39393939393939(+0.10606060606060609)'}",LOC,66,1.49,0.2,0.18,1.11,"{'useful_comment_density': 'useful_comment_density percentile: 18.181818181818183(+0.18181818181818182)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 89.39393939393939(+0.10606060606060609)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 0.0(+1.0)', 'propagation_cost': 'propagation_cost percentile: 90.9090909090909(+0.09090909090909094)', 'core_size': 'core_size percentile: 89.39393939393939(+0.10606060606060609)'}",LOC,66
4,24473,553,0,0,111317,44.20888094361149,[],989,php/php-src,478527,112581,2.0,1649,Core-Periphery,True,25.2,37.4,22.643,12.1,10.9,23.5265721683416,14.57890334324034,18.868240802841246,16.76431440802275,9.111135670234708,0.0,0.0,1.0,10.687375683437468,1.66,0.91,0.22,0.53,"{'useful_comment_density': 'useful_comment_density percentile: 21.875(+0.21875)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 56.25(+0.4375)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 90.625(+0.09375)', 'propagation_cost': 'propagation_cost percentile: 56.25(+0.4375)', 'core_size': 'core_size percentile: 53.125(+0.46875)'}",LOC,32,1.66,0.91,0.22,0.53,"{'useful_comment_density': 'useful_comment_density percentile: 21.875(+0.21875)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 56.25(+0.4375)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 90.625(+0.09375)', 'propagation_cost': 'propagation_cost percentile: 56.25(+0.4375)', 'core_size': 'core_size percentile: 53.125(+0.46875)'}",LOC,32
3,24269,23,2266,2371,2584,19.504643962848302,"['ijkplayer', 'android', 'ios', 'video', 'player', 'ffmpeg']",78,bilibili/ijkplayer,18219,1320,0.0,248,Core-Periphery,True,15.7,24.6,21.784000000000002,4.0,7.3,7.245183599538943,14.566827043260437,14.15315615457123,11.335390354693924,4.523561956057013,11.145932145820515,11.211279947482009,0.0,7.954196310386875,2.32,1.21,0.1,1.01,"{'useful_comment_density': 'useful_comment_density percentile: 10.317460317460318(+0.10317460317460318)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 38.095238095238095(+0.6190476190476191)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 61.111111111111114(+0.38888888888888884)', 'propagation_cost': 'propagation_cost percentile: 40.476190476190474(+0.5952380952380952)', 'core_size': 'core_size percentile: 38.095238095238095(+0.6190476190476191)'}",LOC,126,2.32,1.21,0.1,1.01,"{'useful_comment_density': 'useful_comment_density percentile: 10.317460317460318(+0.10317460317460318)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 38.095238095238095(+0.6190476190476191)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 61.111111111111114(+0.38888888888888884)', 'propagation_cost': 'propagation_cost percentile: 40.476190476190474(+0.5952380952380952)', 'core_size': 'core_size percentile: 38.095238095238095(+0.6190476190476191)'}",LOC,126
5,21410,1,73,217,72,15.277777777777779,[],20,wg/wrk,3282,0,0.0,27,Core-Periphery,True,7.4,25.9,22.497,7.4,14.6,0.0,14.385997175272871,11.680359523513713,6.169925001442312,0.0,6.189824558880018,7.7615512324444795,0.0,4.754887502163468,2.81,1.34,0.38,1.09,"{'useful_comment_density': 'useful_comment_density percentile: 38.372093023255815(+0.38372093023255816)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 81.3953488372093(+0.18604651162790703)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 9.30232558139535(+0.9069767441860465)', 'propagation_cost': 'propagation_cost percentile: 31.3953488372093(+0.686046511627907)', 'core_size': 'core_size percentile: 34.883720930232556(+0.6511627906976745)'}",LOC,86,2.81,1.34,0.38,1.09,"{'useful_comment_density': 'useful_comment_density percentile: 38.372093023255815(+0.38372093023255816)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 81.3953488372093(+0.18604651162790703)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 9.30232558139535(+0.9069767441860465)', 'propagation_cost': 'propagation_cost percentile: 31.3953488372093(+0.686046511627907)', 'core_size': 'core_size percentile: 34.883720930232556(+0.6511627906976745)'}",LOC,86
7,18554,203,329,375,2008,24.551792828685254,"['command-line-tool', 'c', 'silver-searcher', 'pcre', 'ag', 'search-in-text']",49,ggreer/the_silver_searcher,2417,48,0.0,23,Core-Periphery,True,8.7,21.7,26.843000000000004,4.3,12.6,1.985932974762102,14.179442626129568,11.239001757765582,10.971543553950772,7.6653359171851765,8.361943773735241,8.550746785383243,0.0,4.523561956057013,2.2,1.12,0.3,0.78,"{'useful_comment_density': 'useful_comment_density percentile: 30.136986301369863(+0.3013698630136986)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 71.23287671232876(+0.28767123287671237)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 50.68493150684932(+0.4931506849315068)', 'propagation_cost': 'propagation_cost percentile: 42.465753424657535(+0.5753424657534246)', 'core_size': 'core_size percentile: 45.89041095890411(+0.5410958904109588)'}",LOC,73,2.2,1.12,0.3,0.78,"{'useful_comment_density': 'useful_comment_density percentile: 30.136986301369863(+0.3013698630136986)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 71.23287671232876(+0.28767123287671237)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 50.68493150684932(+0.4931506849315068)', 'propagation_cost': 'propagation_cost percentile: 42.465753424657535(+0.5753424657534246)', 'core_size': 'core_size percentile: 45.89041095890411(+0.5410958904109588)'}",LOC,73
6,18191,40,38,23,243,21.81069958847737,[],12,SamyPesse/How-to-Make-a-Computer-Operating-System,12984,848,24.0,372,Core-Periphery,True,8.3,28.0,11.852,0.8,22.5,6.531115218730746,14.150937232895423,13.664447284547972,7.924812503605781,5.321928094887363,5.247927513443585,4.523561956057013,4.584962500721156,8.539158811108031,3.4,1.53,0.56,1.31,"{'useful_comment_density': 'useful_comment_density percentile: 55.55555555555556(+0.5555555555555556)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 7.6923076923076925(+0.923076923076923)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 61.53846153846154(+0.3846153846153846)', 'propagation_cost': 'propagation_cost percentile: 17.94871794871795(+0.8205128205128205)', 'core_size': 'core_size percentile: 29.05982905982906(+0.7094017094017094)'}",LOC,117,3.4,1.53,0.56,1.31,"{'useful_comment_density': 'useful_comment_density percentile: 55.55555555555556(+0.5555555555555556)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 7.6923076923076925(+0.923076923076923)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 61.53846153846154(+0.3846153846153846)', 'propagation_cost': 'propagation_cost percentile: 17.94871794871795(+0.8205128205128205)', 'core_size': 'core_size percentile: 29.05982905982906(+0.7094017094017094)'}",LOC,117
8,17684,289,1760,2807,19280,30.186721991701244,[],320,emscripten-core/emscripten,625552,98984,1241.0,5044,Core-Periphery,True,7.6,34.8,7.322,5.6,27.8,15.823464715962862,14.110157018954066,19.2547702901212,14.234817431117325,8.174925682500678,10.78135971352466,11.454813348512525,10.277287400130357,12.30035256032822,3.54,1.66,0.72,1.16,"{'useful_comment_density': 'useful_comment_density percentile: 71.875(+0.71875)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 28.125(+0.71875)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 56.25(+0.4375)', 'propagation_cost': 'propagation_cost percentile: 15.625(+0.84375)', 'core_size': 'core_size percentile: 18.75(+0.8125)'}",LOC,32,3.54,1.66,0.72,1.16,"{'useful_comment_density': 'useful_comment_density percentile: 71.875(+0.71875)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 28.125(+0.71875)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 56.25(+0.4375)', 'propagation_cost': 'propagation_cost percentile: 15.625(+0.84375)', 'core_size': 'core_size percentile: 18.75(+0.8125)'}",LOC,32
18,16891,4,246,429,449,25.83518930957684,"['android', 'c', 'sdl2', 'libav', 'ffmpeg', 'screen', 'mirroring', 'recording']",12,Genymobile/scrcpy,3543,20,0.0,53,Hierarchical,False,3.8,28.3,13.03,1.9,31.4,0.5644933672029353,14.043967122273356,11.790755750118313,8.810571634741146,2.0,7.94251450533924,8.744833837499545,0.0,5.727920454563199,3.86,1.66,0.84,1.36,"{'useful_comment_density': 'useful_comment_density percentile: 83.51648351648352(+0.8351648351648352)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 45.05494505494506(+0.5494505494505494)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 18.681318681318682(+0.8131868131868132)', 'propagation_cost': 'propagation_cost percentile: 17.582417582417584(+0.8241758241758242)', 'core_size': 'core_size percentile: 16.483516483516482(+0.8351648351648352)'}",LOC,91,3.86,1.66,0.84,1.36,"{'useful_comment_density': 'useful_comment_density percentile: 83.51648351648352(+0.8351648351648352)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 45.05494505494506(+0.5494505494505494)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 18.681318681318682(+0.8131868131868132)', 'propagation_cost': 'propagation_cost percentile: 17.582417582417584(+0.8241758241758242)', 'core_size': 'core_size percentile: 16.483516483516482(+0.8351648351648352)'}",LOC,91
