,stars,contributors,open_issues,closed_issues,commits,defect_proneness,topics,releases_count,project_name,useful_lines_of_code_(uloc),duplicate_uloc,classes,files,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,log_stars,log_uloc,log_commits,log_contributors,log_open_issues,log_closed_issues,log_classes,log_files,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count,overall_score_no_topics,architecture_score_no_topics,clarity_score_no_topics,complexity_score_no_topics,explanation_no_topics,benchmark_selection_no_topics,benchmark_count_no_topics
0,132915,810,2431,17233,51845,29.02497830070402,"['tensorflow', 'machine-learning', 'python', 'deep-learning', 'deep-neural-networks', 'neural-network', 'ml', 'distributed']",88,tensorflow/tensorflow,780161,102306,5013.0,6071,Core-Periphery,True,18.6,68.1,17.56,4.6,20.7,13.113447096176303,17.020144402259795,19.573412354736085,15.661917239889169,9.661778097771988,11.247334178028728,14.072886253972108,12.291458518782344,12.567718457850754,3.45,1.58,0.32,1.55,"{'useful_comment_density': 'useful_comment_density percentile: 32.25806451612903(+0.3225806451612903)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 6.451612903225806(+0.9354838709677419)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 38.70967741935484(+0.6129032258064516)', 'propagation_cost': 'propagation_cost percentile: 19.35483870967742(+0.8064516129032258)', 'core_size': 'core_size percentile: 22.580645161290324(+0.7741935483870968)'}",LOC,31,3.45,1.58,0.32,1.55,"{'useful_comment_density': 'useful_comment_density percentile: 32.25806451612903(+0.3225806451612903)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 6.451612903225806(+0.9354838709677419)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 38.70967741935484(+0.6129032258064516)', 'propagation_cost': 'propagation_cost percentile: 19.35483870967742(+0.8064516129032258)', 'core_size': 'core_size percentile: 22.580645161290324(+0.7741935483870968)'}",LOC,31
1,76335,628,977,10366,21515,25.042993260515924,"['electron', 'javascript', 'c-plus-plus', 'html', 'css', 'chrome', 'nodejs', 'v8']",577,electron/electron,40298,599,312.0,579,Hierarchical,False,2.2,21.2,8.568,3.8,13.9,1.4864261253660231,16.220057071585718,15.298420618757236,14.393055219835672,9.294620748891626,9.932214751968385,13.339571678384699,8.285402218862249,9.177419537989236,3.59,1.82,0.29,1.48,"{'useful_comment_density': 'useful_comment_density percentile: 29.45205479452055(+0.2945205479452055)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 43.49315068493151(+0.565068493150685)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 8.219178082191782(+0.9178082191780823)', 'propagation_cost': 'propagation_cost percentile: 14.383561643835616(+0.8561643835616438)', 'core_size': 'core_size percentile: 4.109589041095891(+0.9589041095890412)'}",LOC,146,3.59,1.82,0.29,1.48,"{'useful_comment_density': 'useful_comment_density percentile: 29.45205479452055(+0.2945205479452055)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 43.49315068493151(+0.565068493150685)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 8.219178082191782(+0.9178082191780823)', 'propagation_cost': 'propagation_cost percentile: 14.383561643835616(+0.8561643835616438)', 'core_size': 'core_size percentile: 4.109589041095891(+0.9589041095890412)'}",LOC,146
2,48899,627,0,0,84518,28.741806479093214,[],1252,apple/swift,487718,10730,2689.0,2083,Core-Periphery,True,29.7,37.8,23.235,12.1,25.3,2.2000418274494686,15.577517341459217,18.89568769272309,16.36697100787033,9.29232163280204,0.0,0.0,11.392854039872873,11.024447124040647,2.86,0.96,0.6,1.3,"{'useful_comment_density': 'useful_comment_density percentile: 59.57446808510638(+0.5957446808510638)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 70.2127659574468(+0.29787234042553196)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 0.0(+1.0)', 'propagation_cost': 'propagation_cost percentile: 42.5531914893617(+0.574468085106383)', 'core_size': 'core_size percentile: 61.702127659574465(+0.3829787234042554)'}",LOC,47,2.86,0.96,0.6,1.3,"{'useful_comment_density': 'useful_comment_density percentile: 59.57446808510638(+0.5957446808510638)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 70.2127659574468(+0.29787234042553196)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 0.0(+1.0)', 'propagation_cost': 'propagation_cost percentile: 42.5531914893617(+0.574468085106383)', 'core_size': 'core_size percentile: 61.702127659574465(+0.3829787234042554)'}",LOC,47
3,39800,595,681,4160,19896,29.930639324487327,"['bitcoin', 'c-plus-plus', 'p2p', 'cryptocurrency', 'cryptography']",220,bitcoin/bitcoin,100345,4062,772.0,746,Core-Periphery,True,33.4,33.4,36.373000000000005,6.6,21.6,4.048034281728039,15.280480810318373,16.61460920618549,14.280190792216906,9.216745858195306,9.411510988012072,12.022367813028454,9.59245703726808,9.543031820255237,2.45,0.49,0.56,1.4,"{'useful_comment_density': 'useful_comment_density percentile: 56.30252100840336(+0.5630252100840336)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 42.436974789915965(+0.5756302521008404)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 17.647058823529413(+0.8235294117647058)', 'propagation_cost': 'propagation_cost percentile: 74.78991596638656(+0.2521008403361344)', 'core_size': 'core_size percentile: 76.47058823529412(+0.23529411764705885)'}",LOC,119,2.45,0.49,0.56,1.4,"{'useful_comment_density': 'useful_comment_density percentile: 56.30252100840336(+0.5630252100840336)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 42.436974789915965(+0.5756302521008404)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 17.647058823529413(+0.8235294117647058)', 'propagation_cost': 'propagation_cost percentile: 74.78991596638656(+0.2521008403361344)', 'core_size': 'core_size percentile: 76.47058823529412(+0.23529411764705885)'}",LOC,119
7,37559,973,1700,3926,26195,38.34319526627219,"['opencv', 'c-plus-plus', 'computer-vision', 'deep-learning', 'image-processing']",84,opencv/opencv,624347,126634,4482.0,2814,Core-Periphery,True,22.3,35.7,16.846,9.0,22.9,20.28263129317511,15.196871031618707,19.251988548455884,14.677003841556422,9.926295994781112,10.731319031025064,11.938844457466171,12.129926933510394,11.458406613236532,2.85,1.5,0.53,0.82,"{'useful_comment_density': 'useful_comment_density percentile: 52.94117647058823(+0.5294117647058824)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 44.11764705882353(+0.5588235294117647)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 73.52941176470588(+0.2647058823529412)', 'propagation_cost': 'propagation_cost percentile: 14.705882352941176(+0.8529411764705883)', 'core_size': 'core_size percentile: 35.294117647058826(+0.6470588235294117)'}",LOC,34,2.85,1.5,0.53,0.82,"{'useful_comment_density': 'useful_comment_density percentile: 52.94117647058823(+0.5294117647058824)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 44.11764705882353(+0.5588235294117647)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 73.52941176470588(+0.2647058823529412)', 'propagation_cost': 'propagation_cost percentile: 14.705882352941176(+0.8529411764705883)', 'core_size': 'core_size percentile: 35.294117647058826(+0.6470588235294117)'}",LOC,34
6,36594,410,613,2821,6443,33.78860779140152,"['protobuf', 'protocol-buffers', 'protocol-compiler', 'protobuf-runtime', 'protoc', 'serialization', 'marshalling', 'rpc']",66,protocolbuffers/protobuf,200353,39384,875.0,586,Core-Periphery,True,25.6,23.7,24.94,16.7,22.5,19.657304856927524,15.159319501287046,17.612184586664814,12.653516879421431,8.679480099505446,9.259743263690781,11.461990950585571,9.77313920671969,9.194756854422248,1.6,0.93,0.41,0.26,"{'useful_comment_density': 'useful_comment_density percentile: 40.74074074074074(+0.4074074074074074)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 90.74074074074075(+0.09259259259259252)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 83.33333333333333(+0.1666666666666667)', 'propagation_cost': 'propagation_cost percentile: 50.0(+0.5)', 'core_size': 'core_size percentile: 57.407407407407405(+0.42592592592592593)'}",LOC,108,1.6,0.93,0.41,0.26,"{'useful_comment_density': 'useful_comment_density percentile: 40.74074074074074(+0.4074074074074074)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 90.74074074074075(+0.09259259259259252)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 83.33333333333333(+0.1666666666666667)', 'propagation_cost': 'propagation_cost percentile: 50.0(+0.5)', 'core_size': 'core_size percentile: 57.407407407407405(+0.42592592592592593)'}",LOC,108
4,35756,78,731,5604,3535,37.96322489391796,"['web-application-framework', 'javascript', 'desktop', 'node-webkit', 'nwjs']",226,nwjs/nw.js,17448,1026,183.0,225,Hierarchical,False,0.9,30.7,0.5870000000000001,1.3,16.5,5.880330123796424,15.125897731760327,14.09077405464075,11.787494499696761,6.285402218862249,9.513727595952437,12.452241240430817,7.515699838284043,7.813781191217037,3.6,1.97,0.34,1.29,"{'useful_comment_density': 'useful_comment_density percentile: 33.64485981308411(+0.3364485981308411)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 20.093457943925234(+0.7990654205607477)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 50.467289719626166(+0.4953271028037383)', 'propagation_cost': 'propagation_cost percentile: 0.0(+1.0)', 'core_size': 'core_size percentile: 2.803738317757009(+0.9719626168224299)'}",LOC,107,3.6,1.97,0.34,1.29,"{'useful_comment_density': 'useful_comment_density percentile: 33.64485981308411(+0.3364485981308411)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 20.093457943925234(+0.7990654205607477)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 50.467289719626166(+0.4953271028037383)', 'propagation_cost': 'propagation_cost percentile: 0.0(+1.0)', 'core_size': 'core_size percentile: 2.803738317757009(+0.9719626168224299)'}",LOC,107
5,34166,33,342,1339,4177,36.12640651185061,"['debugger', 'windows', 'x64', 'disassembler', 'reverse-engineering', 'security', 'x86', 'x86-64']",28,x64dbg/x64dbg,83637,3523,189.0,549,Core-Periphery,True,31.5,31.5,38.078,12.0,12.8,4.212250558963138,15.060273733024598,16.35185369395489,12.028251428162793,5.044394119358453,8.417852514885897,10.386940245324311,7.562242424221073,9.100662339005199,1.69,0.49,0.24,0.96,"{'useful_comment_density': 'useful_comment_density percentile: 23.643410852713178(+0.2364341085271318)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 81.3953488372093(+0.18604651162790703)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 22.48062015503876(+0.7751937984496123)', 'propagation_cost': 'propagation_cost percentile: 78.29457364341086(+0.21705426356589144)', 'core_size': 'core_size percentile: 72.86821705426357(+0.2713178294573643)'}",LOC,129,1.69,0.49,0.24,0.96,"{'useful_comment_density': 'useful_comment_density percentile: 23.643410852713178(+0.2364341085271318)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 81.3953488372093(+0.18604651162790703)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 22.48062015503876(+0.7751937984496123)', 'propagation_cost': 'propagation_cost percentile: 78.29457364341086(+0.21705426356589144)', 'core_size': 'core_size percentile: 72.86821705426357(+0.2713178294573643)'}",LOC,129
10,30998,166,3136,6751,16877,36.71268590389288,"['neural-network', 'autograd', 'gpu', 'numpy', 'deep-learning', 'tensor', 'python', 'machine-learning']",23,pytorch/pytorch,277123,54519,1792.0,2792,Core-Periphery,True,22.3,30.9,24.201,3.6,15.4,19.673213699332067,14.919887514946934,18.08016692761963,14.04277085766013,7.3750394313469245,11.614709844115207,12.720885503593726,10.807354922057604,11.447083226209653,2.37,1.06,0.21,1.1,"{'useful_comment_density': 'useful_comment_density percentile: 20.930232558139537(+0.20930232558139536)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 16.86046511627907(+0.8313953488372092)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 73.25581395348837(+0.2674418604651163)', 'propagation_cost': 'propagation_cost percentile: 48.83720930232558(+0.5116279069767442)', 'core_size': 'core_size percentile: 45.348837209302324(+0.5465116279069767)'}",LOC,86,2.37,1.06,0.21,1.1,"{'useful_comment_density': 'useful_comment_density percentile: 20.930232558139537(+0.20930232558139536)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 16.86046511627907(+0.8313953488372092)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 73.25581395348837(+0.2674418604651163)', 'propagation_cost': 'propagation_cost percentile: 48.83720930232558(+0.5116279069767442)', 'core_size': 'core_size percentile: 45.348837209302324(+0.5465116279069767)'}",LOC,86
9,29296,90,215,1353,3696,46.56385281385282,"['tesseract', 'tesseract-ocr', 'ocr', 'lstm', 'machine-learning', 'ocr-engine']",38,tesseract-ocr/tesseract,127533,5804,687.0,606,Core-Periphery,True,51.8,51.8,53.163999999999994,18.2,32.6,4.550978962307795,14.838416075797337,16.960511076628833,11.851749041416058,6.491853096329675,7.7481928495894605,10.401946123976536,9.4241662888181,9.243173983472952,2.02,0.31,0.82,0.89,"{'useful_comment_density': 'useful_comment_density percentile: 82.14285714285714(+0.8214285714285714)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 93.75(+0.0625)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 16.964285714285715(+0.8303571428571428)', 'propagation_cost': 'propagation_cost percentile: 85.71428571428571(+0.1428571428571429)', 'core_size': 'core_size percentile: 83.03571428571429(+0.1696428571428571)'}",LOC,112,2.02,0.31,0.82,0.89,"{'useful_comment_density': 'useful_comment_density percentile: 82.14285714285714(+0.8214285714285714)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 93.75(+0.0625)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 16.964285714285715(+0.8303571428571428)', 'propagation_cost': 'propagation_cost percentile: 85.71428571428571(+0.1428571428571429)', 'core_size': 'core_size percentile: 83.03571428571429(+0.1696428571428571)'}",LOC,112
