,stars,contributors,open_issues,closed_issues,commits,defect_proneness,topics,releases_count,project_name,useful_lines_of_code_(uloc),duplicate_uloc,classes,files,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,log_stars,log_uloc,log_commits,log_contributors,log_open_issues,log_closed_issues,log_classes,log_files,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count,overall_score_no_topics,architecture_score_no_topics,clarity_score_no_topics,complexity_score_no_topics,explanation_no_topics,benchmark_selection_no_topics,benchmark_count_no_topics
0,50584,148,186,273,2178,17.17171717171717,"['java', 'principles', 'design-patterns', 'awesome-list', 'snippets', 'snippets-collection', 'snippets-library']",14,iluwatar/java-design-patterns,24056,892,1186.0,1126,Hierarchical,False,0.4,16.7,0.376,0.0,26.0,3.708014632524111,15.626393504173995,14.554109152574004,11.088788238716907,7.20945336562895,7.539158811108031,8.092757140919852,10.211888294546004,10.13699111208023,4.45,1.97,0.81,1.67,"{'useful_comment_density': 'useful_comment_density percentile: 81.18811881188118(+0.8118811881188118)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 1.4851485148514851(+0.9851485148514851)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 31.683168316831683(+0.6831683168316832)', 'propagation_cost': 'propagation_cost percentile: 0.9900990099009901(+0.9900990099009901)', 'core_size': 'core_size percentile: 1.9801980198019802(+0.9801980198019803)'}",LOC,101,4.45,1.97,0.81,1.67,"{'useful_comment_density': 'useful_comment_density percentile: 81.18811881188118(+0.8118811881188118)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 1.4851485148514851(+0.9851485148514851)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 31.683168316831683(+0.6831683168316832)', 'propagation_cost': 'propagation_cost percentile: 0.9900990099009901(+0.9900990099009901)', 'core_size': 'core_size percentile: 1.9801980198019802(+0.9801980198019803)'}",LOC,101
2,43377,315,1883,18900,45113,30.186420765632967,"['elasticsearch', 'java', 'search-engine']",254,elastic/elasticsearch,1150023,88377,20394.0,10910,Core-Periphery,True,21.2,11.3,24.090999999999998,8.0,8.7,7.684802825682617,15.404642657668287,20.133231284106106,15.461255607553321,8.29920801838728,10.878817284614229,14.206098613995797,14.315857147262829,13.41336348121097,1.76,0.48,0.16,1.12,"{'useful_comment_density': 'useful_comment_density percentile: 16.0(+0.16)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 60.0(+0.4)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 28.0(+0.72)', 'propagation_cost': 'propagation_cost percentile: 80.0(+0.2)', 'core_size': 'core_size percentile: 72.0(+0.28)'}",NEAREST,25,1.76,0.48,0.16,1.12,"{'useful_comment_density': 'useful_comment_density percentile: 16.0(+0.16)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 60.0(+0.4)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 28.0(+0.72)', 'propagation_cost': 'propagation_cost percentile: 80.0(+0.2)', 'core_size': 'core_size percentile: 72.0(+0.28)'}",NEAREST,25
1,40126,116,15,2741,5521,30.556058685020837,"['java', 'rxjava', 'flow', 'reactive-streams']",217,ReactiveX/RxJava,226214,57107,14399.0,1654,Core-Periphery,True,37.7,52.7,40.264,13.3,18.9,25.244679816456983,15.292249726352955,17.787328692471696,12.430713885791938,6.857980995127572,3.9068905956085187,11.420486612825774,13.813681000582537,10.691743519171276,0.92,0.05,0.76,0.11,"{'useful_comment_density': 'useful_comment_density percentile: 75.67567567567568(+0.7567567567567568)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 100.0(+0.0)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 89.1891891891892(+0.10810810810810807)', 'propagation_cost': 'propagation_cost percentile: 97.29729729729729(+0.027027027027027088)', 'core_size': 'core_size percentile: 97.29729729729729(+0.027027027027027088)'}",LOC,37,0.92,0.05,0.76,0.11,"{'useful_comment_density': 'useful_comment_density percentile: 75.67567567567568(+0.7567567567567568)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 100.0(+0.0)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 89.1891891891892(+0.10810810810810807)', 'propagation_cost': 'propagation_cost percentile: 97.29729729729729(+0.027027027027027088)', 'core_size': 'core_size percentile: 97.29729729729729(+0.027027027027027088)'}",LOC,37
6,33870,156,179,2572,3657,26.63385288487832,"['java', 'android', 'kotlin']",71,square/okhttp,45515,2296,626.0,290,Core-Periphery,True,22.1,19.0,23.308000000000003,11.4,12.8,5.044490827199824,15.047720366381519,15.474054460229882,11.836444911341369,7.285402218862249,7.483815777264256,11.328674927327947,9.290018846932618,8.179909090014934,1.62,0.55,0.44,0.63,"{'useful_comment_density': 'useful_comment_density percentile: 44.21052631578947(+0.4421052631578947)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 96.84210526315789(+0.031578947368421095)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 40.0(+0.6)', 'propagation_cost': 'propagation_cost percentile: 69.47368421052632(+0.30526315789473685)', 'core_size': 'core_size percentile: 75.78947368421052(+0.2421052631578948)'}",LOC,95,1.62,0.55,0.44,0.63,"{'useful_comment_density': 'useful_comment_density percentile: 44.21052631578947(+0.4421052631578947)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 96.84210526315789(+0.031578947368421095)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 40.0(+0.6)', 'propagation_cost': 'propagation_cost percentile: 69.47368421052632(+0.30526315789473685)', 'core_size': 'core_size percentile: 75.78947368421052(+0.2421052631578948)'}",LOC,95
4,33366,113,62,2170,1717,17.472335468841006,"['java', 'android']",44,square/retrofit,16690,2335,1057.0,241,Core-Periphery,True,9.1,17.8,13.982000000000001,1.2,7.9,13.990413421210304,15.026091122525854,14.02669633424996,10.745674324002135,6.820178962415188,5.954196310386875,11.083479327331842,10.045759661382682,7.912889336229962,2.45,1.03,0.31,1.11,"{'useful_comment_density': 'useful_comment_density percentile: 30.555555555555557(+0.3055555555555556)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 11.11111111111111(+0.8888888888888888)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 77.77777777777777(+0.2222222222222223)', 'propagation_cost': 'propagation_cost percentile: 41.666666666666664(+0.5833333333333334)', 'core_size': 'core_size percentile: 55.55555555555556(+0.4444444444444444)'}",TOPIC ['android'],36,2.11,0.98,0.19,0.94,"{'useful_comment_density': 'useful_comment_density percentile: 18.75(+0.1875)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 19.642857142857142(+0.8035714285714286)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 86.60714285714286(+0.1339285714285714)', 'propagation_cost': 'propagation_cost percentile: 47.32142857142857(+0.5267857142857143)', 'core_size': 'core_size percentile: 54.464285714285715(+0.45535714285714285)'}",LOC,112
7,33189,17,644,2345,4907,26.778072141838194,"['guava', 'java']",87,google/guava,409572,183948,19623.0,3153,Hierarchical,False,3.6,55.2,4.643,11.3,22.1,44.91224986083033,15.018417540548212,18.643757564672402,12.260625556068227,4.087462841250339,9.330916878114618,11.19537220740274,14.260257999815217,11.622509454683335,2.47,1.54,0.85,0.08,"{'useful_comment_density': 'useful_comment_density percentile: 84.61538461538461(+0.8461538461538461)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 92.3076923076923(+0.07692307692307693)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 100.0(+0.0)', 'propagation_cost': 'propagation_cost percentile: 23.076923076923077(+0.7692307692307692)', 'core_size': 'core_size percentile: 23.076923076923077(+0.7692307692307692)'}",LOC,26,2.47,1.54,0.85,0.08,"{'useful_comment_density': 'useful_comment_density percentile: 84.61538461538461(+0.8461538461538461)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 92.3076923076923(+0.07692307692307693)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 100.0(+0.0)', 'propagation_cost': 'propagation_cost percentile: 23.076923076923077(+0.7692307692307692)', 'core_size': 'core_size percentile: 23.076923076923077(+0.7692307692307692)'}",LOC,26
9,31478,79,804,17607,18073,50.019365904941075,"['framework', 'spring', 'spring-framework']",160,spring-projects/spring-framework,517928,37318,14040.0,7031,Hierarchical,False,0.4,19.6,2.6839999999999997,5.4,30.8,7.205248605983844,14.942056259602488,18.982392029370537,14.141548383587372,6.303780748177103,9.651051691178928,14.10386149349847,13.777255315191923,12.7795141791435,3.92,1.81,0.89,1.22,"{'useful_comment_density': 'useful_comment_density percentile: 88.88888888888889(+0.8888888888888888)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 44.44444444444444(+0.5555555555555556)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 33.333333333333336(+0.6666666666666665)', 'propagation_cost': 'propagation_cost percentile: 14.814814814814815(+0.8518518518518519)', 'core_size': 'core_size percentile: 3.7037037037037037(+0.9629629629629629)'}",LOC,27,3.92,1.81,0.89,1.22,"{'useful_comment_density': 'useful_comment_density percentile: 88.88888888888889(+0.8888888888888888)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 44.44444444444444(+0.5555555555555556)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 33.333333333333336(+0.6666666666666665)', 'propagation_cost': 'propagation_cost percentile: 14.814814814814815(+0.8518518518518519)', 'core_size': 'core_size percentile: 3.7037037037037037(+0.9629629629629629)'}",LOC,27
1288,28557,46,431,2321,3259,19.208346118441238,['dubbo'],61,alibaba/dubbo,99273,14926,2278.0,1619,Hierarchical,False,1.2,21.0,3.4539999999999997,3.0,10.1,15.035306679560403,14.80155680735995,16.599113770387113,11.670213636738564,5.523561956057013,8.751544059089099,11.180530807344482,11.153552031708111,10.660887270302567,3.03,1.82,0.28,0.93,"{'useful_comment_density': 'useful_comment_density percentile: 28.03030303030303(+0.28030303030303033)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 25.0(+0.75)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 81.81818181818181(+0.18181818181818188)', 'propagation_cost': 'propagation_cost percentile: 10.606060606060606(+0.8939393939393939)', 'core_size': 'core_size percentile: 7.575757575757576(+0.9242424242424242)'}",LOC,66,3.03,1.82,0.28,0.93,"{'useful_comment_density': 'useful_comment_density percentile: 28.03030303030303(+0.28030303030303033)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 25.0(+0.75)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 81.81818181818181(+0.18181818181818188)', 'propagation_cost': 'propagation_cost percentile: 10.606060606060606(+0.8939393939393939)', 'core_size': 'core_size percentile: 7.575757575757576(+0.9242424242424242)'}",LOC,66
12,28537,46,425,2318,3259,19.208346118441238,['dubbo'],61,apache/incubator-dubbo,99273,14770,2278.0,1619,Hierarchical,False,1.2,21.0,3.4539999999999997,3.0,10.1,14.878164254127507,14.800546056598119,16.599113770387113,11.670213636738564,5.523561956057013,8.731319031025064,11.178664851006472,11.153552031708111,10.660887270302567,3.05,1.82,0.28,0.95,"{'useful_comment_density': 'useful_comment_density percentile: 28.03030303030303(+0.28030303030303033)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 25.0(+0.75)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 80.3030303030303(+0.19696969696969702)', 'propagation_cost': 'propagation_cost percentile: 10.606060606060606(+0.8939393939393939)', 'core_size': 'core_size percentile: 7.575757575757576(+0.9242424242424242)'}",LOC,66,3.05,1.82,0.28,0.95,"{'useful_comment_density': 'useful_comment_density percentile: 28.03030303030303(+0.28030303030303033)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 25.0(+0.75)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 80.3030303030303(+0.19696969696969702)', 'propagation_cost': 'propagation_cost percentile: 10.606060606060606(+0.8939393939393939)', 'core_size': 'core_size percentile: 7.575757575757576(+0.9242424242424242)'}",LOC,66
8,28177,71,1488,2740,2009,27.52613240418119,"['java', 'chart', 'graph', 'android', 'mpandroidchart']",44,PhilJay/MPAndroidChart,20640,2631,289.0,220,Core-Periphery,True,7.3,19.1,26.938000000000002,5.5,23.3,12.747093023255815,14.782230395898216,14.333155350310616,10.972261848733291,6.149747119504682,10.539158811108031,11.419960177847889,8.174925682500678,7.78135971352466,2.11,0.79,0.85,0.47,"{'useful_comment_density': 'useful_comment_density percentile: 85.29411764705883(+0.8529411764705883)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 76.47058823529412(+0.23529411764705885)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 76.47058823529412(+0.23529411764705885)', 'propagation_cost': 'propagation_cost percentile: 73.52941176470588(+0.2647058823529412)', 'core_size': 'core_size percentile: 47.05882352941177(+0.5294117647058824)'}","TOPIC ['chart', 'graph', 'android', 'mpandroidchart']",34,1.89,0.77,0.78,0.34,"{'useful_comment_density': 'useful_comment_density percentile: 77.58620689655173(+0.7758620689655173)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 79.3103448275862(+0.20689655172413793)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 86.20689655172414(+0.13793103448275856)', 'propagation_cost': 'propagation_cost percentile: 75.0(+0.25)', 'core_size': 'core_size percentile: 48.275862068965516(+0.5172413793103449)'}",LOC,116
10,26858,36,136,3307,2302,33.405734144222414,"['android', 'imageloader', 'gif', 'disk-cache', 'glide']",36,bumptech/glide,58529,11580,1586.0,632,Core-Periphery,True,12.7,19.5,17.043,5.4,14.4,19.785063814519297,14.713064257006153,15.836864009193704,11.16867211813223,5.169925001442312,7.087462841250339,11.691307330191115,10.63117705570398,9.303780748177102,1.95,1.0,0.45,0.5,"{'useful_comment_density': 'useful_comment_density percentile: 45.348837209302324(+0.45348837209302323)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 55.81395348837209(+0.4418604651162791)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 94.18604651162791(+0.05813953488372093)', 'propagation_cost': 'propagation_cost percentile: 50.0(+0.5)', 'core_size': 'core_size percentile: 50.0(+0.5)'}",LOC,86,1.95,1.0,0.45,0.5,"{'useful_comment_density': 'useful_comment_density percentile: 45.348837209302324(+0.45348837209302323)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 55.81395348837209(+0.4418604651162791)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 94.18604651162791(+0.05813953488372093)', 'propagation_cost': 'propagation_cost percentile: 50.0(+0.5)', 'core_size': 'core_size percentile: 50.0(+0.5)'}",LOC,86
