,stars,contributors,open_issues,closed_issues,commits,defect_proneness,topics,releases_count,project_name,useful_lines_of_code_(uloc),duplicate_uloc,classes,files,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,log_stars,log_uloc,log_commits,log_contributors,log_open_issues,log_closed_issues,log_classes,log_files,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count,overall_score_no_topics,architecture_score_no_topics,clarity_score_no_topics,complexity_score_no_topics,explanation_no_topics,benchmark_selection_no_topics,benchmark_count_no_topics
1,146824,8,232,8104,2989,37.10270993643359,"['vue', 'javascript', 'frontend', 'framework']",248,vuejs/vue,102940,83607,82.0,477,Hierarchical,False,0.8,58.5,0.621,0.2,13.5,81.21915679036333,17.163728286289153,16.651444162093895,11.545447181678094,3.0,7.857980995127572,12.984418458801137,6.357552004618084,8.897845456005511,1.48,0.73,0.43,0.32,"{'useful_comment_density': 'useful_comment_density percentile: 43.333333333333336(+0.43333333333333335)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 76.66666666666667(+0.23333333333333328)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 91.66666666666667(+0.08333333333333329)', 'propagation_cost': 'propagation_cost percentile: 65.0(+0.35)', 'core_size': 'core_size percentile: 61.666666666666664(+0.38333333333333336)'}",LOC,60,1.48,0.73,0.43,0.32,"{'useful_comment_density': 'useful_comment_density percentile: 43.333333333333336(+0.43333333333333335)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 76.66666666666667(+0.23333333333333328)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 91.66666666666667(+0.08333333333333329)', 'propagation_cost': 'propagation_cost percentile: 65.0(+0.35)', 'core_size': 'core_size percentile: 61.666666666666664(+0.38333333333333336)'}",LOC,60
2,135058,703,657,7284,10785,31.423273064441357,"['javascript', 'react', 'frontend', 'declarative', 'ui', 'library']",118,facebook/react,98454,20840,1505.0,919,Hierarchical,False,0.3,26.7,0.162,0.0,11.6,21.16724561724257,17.043219573139634,16.587162200840666,13.396738556047817,9.457380879072534,9.35974956032233,12.830515206976838,10.555547771647065,9.843921051289035,2.85,1.37,0.35,1.13,"{'useful_comment_density': 'useful_comment_density percentile: 35.483870967741936(+0.3548387096774194)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 32.25806451612903(+0.6774193548387097)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 54.83870967741935(+0.4516129032258065)', 'propagation_cost': 'propagation_cost percentile: 20.967741935483872(+0.7903225806451613)', 'core_size': 'core_size percentile: 41.935483870967744(+0.5806451612903225)'}",LOC,62,2.85,1.37,0.35,1.13,"{'useful_comment_density': 'useful_comment_density percentile: 35.483870967741936(+0.3548387096774194)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 32.25806451612903(+0.6774193548387097)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 54.83870967741935(+0.4516129032258065)', 'propagation_cost': 'propagation_cost percentile: 20.967741935483872(+0.7903225806451613)', 'core_size': 'core_size percentile: 41.935483870967744(+0.5806451612903225)'}",LOC,62
4,88353,308,78,836,1715,23.381924198250733,"['javascript', 'eslint', 'naming-conventions', 'arrow-functions', 'style-guide', 'style-linter', 'es6', 'es2015', 'linting', 'styleguide', 'es2016', 'es2017', 'es2018', 'tc39']",90,airbnb/javascript,1340,134,0.0,22,Hierarchical,False,0.0,27.3,5.372000000000001,0.0,60.7,10.0,16.430991501441707,10.388017285345136,10.743992861060175,8.266786540694902,6.285402218862249,9.707359132080883,0.0,4.459431618637297,3.02,1.26,1.0,0.76,"{'useful_comment_density': 'useful_comment_density percentile: 100.0(+1.0)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 50.714285714285715(+0.4928571428571428)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 72.85714285714286(+0.2714285714285714)', 'propagation_cost': 'propagation_cost percentile: 38.57142857142857(+0.6142857142857143)', 'core_size': 'core_size percentile: 35.0(+0.65)'}",LOC,70,3.02,1.26,1.0,0.76,"{'useful_comment_density': 'useful_comment_density percentile: 100.0(+1.0)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 50.714285714285715(+0.4928571428571428)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 72.85714285714286(+0.2714285714285714)', 'propagation_cost': 'propagation_cost percentile: 38.57142857142857(+0.6142857142857143)', 'core_size': 'core_size percentile: 35.0(+0.65)'}",LOC,70
5,80381,441,615,16651,16305,37.79822140447715,[],324,facebook/react-native,71363,68293,264.0,954,Hierarchical,False,0.0,0.9,0.105,0.0,20.6,95.69805081064418,16.294566905267416,16.122888644949878,13.993026820635828,8.784634845557521,9.264442600226602,14.023321202594843,8.044394119358454,9.897845456005511,3.03,1.73,0.67,0.63,"{'useful_comment_density': 'useful_comment_density percentile: 66.66666666666667(+0.6666666666666667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 37.17948717948718(+0.6282051282051282)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 100.0(+0.0)', 'propagation_cost': 'propagation_cost percentile: 8.974358974358974(+0.9102564102564102)', 'core_size': 'core_size percentile: 17.94871794871795(+0.8205128205128205)'}",LOC,78,3.03,1.73,0.67,0.63,"{'useful_comment_density': 'useful_comment_density percentile: 66.66666666666667(+0.6666666666666667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 37.17948717948718(+0.6282051282051282)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 100.0(+0.0)', 'propagation_cost': 'propagation_cost percentile: 8.974358974358974(+0.9102564102564102)', 'core_size': 'core_size percentile: 17.94871794871795(+0.8205128205128205)'}",LOC,78
6,71006,26,348,4509,2158,32.34476367006487,"['react', 'zero-configuration', 'build-tools']",308,facebook/create-react-app,8185,286,49.0,272,Hierarchical,False,0.7,53.7,0.737,0.0,16.4,3.4941967012828345,16.11565331690638,12.998766701361516,11.075479149488016,4.700439718141092,8.442943495848729,12.13859179463752,5.614709844115208,8.087462841250339,3.2,1.4,0.55,1.25,"{'useful_comment_density': 'useful_comment_density percentile: 55.333333333333336(+0.5533333333333333)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 47.666666666666664(+0.5233333333333333)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 27.333333333333332(+0.7266666666666667)', 'propagation_cost': 'propagation_cost percentile: 16.0(+0.84)', 'core_size': 'core_size percentile: 43.666666666666664(+0.5633333333333334)'}",LOC,150,3.2,1.4,0.55,1.25,"{'useful_comment_density': 'useful_comment_density percentile: 55.333333333333336(+0.5533333333333333)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 47.666666666666664(+0.5233333333333333)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 27.333333333333332(+0.7266666666666667)', 'propagation_cost': 'propagation_cost percentile: 16.0(+0.84)', 'core_size': 'core_size percentile: 43.666666666666664(+0.5633333333333334)'}",LOC,150
9,63756,99,552,1301,839,28.009535160905838,"['http-client', 'javascript', 'nodejs', 'promise']",40,axios/axios,4648,375,14.0,90,Hierarchical,False,0.0,6.7,1.173,0.0,17.7,8.067986230636832,15.960273498194226,12.18239435340453,9.712527000439824,6.6293566200796095,9.108524456778168,10.345405246717796,3.807354922057604,6.491853096329675,3.31,1.6,0.7,1.01,"{'useful_comment_density': 'useful_comment_density percentile: 70.0(+0.7)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 49.61538461538461(+0.5038461538461538)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 49.23076923076923(+0.5076923076923077)', 'propagation_cost': 'propagation_cost percentile: 13.846153846153847(+0.8615384615384616)', 'core_size': 'core_size percentile: 25.76923076923077(+0.7423076923076922)'}",LOC,130,3.31,1.6,0.7,1.01,"{'useful_comment_density': 'useful_comment_density percentile: 70.0(+0.7)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 49.61538461538461(+0.5038461538461538)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 49.23076923076923(+0.5076923076923077)', 'propagation_cost': 'propagation_cost percentile: 13.846153846153847(+0.8615384615384616)', 'core_size': 'core_size percentile: 25.76923076923077(+0.7423076923076922)'}",LOC,130
8,60769,2,4865,9914,47,17.02127659574468,"['fontawesome', 'icons', 'webfont', 'font', 'css', 'svg-icons', 'svg-sprites']",54,FortAwesome/Font-Awesome,98037,58551,14.0,3098,Hierarchical,False,0.0,0.0,0.032,0.0,0.3,59.72336974815631,15.891047930986295,16.581038716963675,5.554588851677638,1.0,12.248224089668474,13.275251543470327,3.807354922057604,11.597121428789569,2.76,1.87,0.02,0.87,"{'useful_comment_density': 'useful_comment_density percentile: 1.5873015873015872(+0.015873015873015872)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 32.53968253968254(+0.6746031746031746)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 80.95238095238095(+0.19047619047619052)', 'propagation_cost': 'propagation_cost percentile: 0.0(+1.0)', 'core_size': 'core_size percentile: 12.698412698412698(+0.873015873015873)'}",LOC,63,2.76,1.87,0.02,0.87,"{'useful_comment_density': 'useful_comment_density percentile: 1.5873015873015872(+0.015873015873015872)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 32.53968253968254(+0.6746031746031746)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 80.95238095238095(+0.19047619047619052)', 'propagation_cost': 'propagation_cost percentile: 0.0(+1.0)', 'core_size': 'core_size percentile: 12.698412698412698(+0.873015873015873)'}",LOC,63
7,59622,58,386,8559,8961,47.81832384778485,[],204,angular/angular.js,199717,115330,78.0,1195,Hierarchical,False,0.0,2.2,0.085,0.0,12.0,57.74671159690963,15.863557150411683,17.60759761529001,13.129444023031947,5.857980995127572,8.59245703726808,13.063226532302876,6.285402218862249,10.222794902868111,3.38,1.8,0.44,1.14,"{'useful_comment_density': 'useful_comment_density percentile: 44.0(+0.44)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 26.0(+0.74)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 60.0(+0.4)', 'propagation_cost': 'propagation_cost percentile: 12.0(+0.88)', 'core_size': 'core_size percentile: 8.0(+0.92)'}",NEAREST,25,3.38,1.8,0.44,1.14,"{'useful_comment_density': 'useful_comment_density percentile: 44.0(+0.44)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 26.0(+0.74)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 60.0(+0.4)', 'propagation_cost': 'propagation_cost percentile: 12.0(+0.88)', 'core_size': 'core_size percentile: 8.0(+0.92)'}",NEAREST,25
10,54164,953,602,8438,27016,20.76917382291975,"['javascript', '3d', 'scene-graph', 'html5', 'svg', 'canvas', 'webgl', 'webvr']",99,mrdoob/three.js,230913,152542,1476.0,2340,Hierarchical,False,1.7,29.7,0.564,0.8,10.3,66.060377718015,15.725046665121754,17.81698987105505,14.721526464007477,9.896332403909941,9.233619676759702,13.042685372219351,10.527477006060396,11.192292814470767,1.12,0.56,0.24,0.32,"{'useful_comment_density': 'useful_comment_density percentile: 24.0(+0.24)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 100.0(+0.0)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 68.0(+0.32)', 'propagation_cost': 'propagation_cost percentile: 64.0(+0.36)', 'core_size': 'core_size percentile: 80.0(+0.2)'}",NEAREST,25,1.12,0.56,0.24,0.32,"{'useful_comment_density': 'useful_comment_density percentile: 24.0(+0.24)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 100.0(+0.0)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 68.0(+0.32)', 'propagation_cost': 'propagation_cost percentile: 64.0(+0.36)', 'core_size': 'core_size percentile: 80.0(+0.2)'}",NEAREST,25
14,53204,5,470,2745,1408,49.14772727272727,"['headless-chrome', 'testing', 'web', 'developer-tools', 'node-module', 'automation']",33,GoogleChrome/puppeteer,17358,2016,128.0,239,Hierarchical,False,0.0,19.7,0.495,0.0,13.7,11.61424127203595,15.69924709450952,14.083313108650756,10.459431618637296,2.321928094887362,8.876516946565,11.42259043389256,7.0,7.900866807980749,3.07,1.6,0.5,0.97,"{'useful_comment_density': 'useful_comment_density percentile: 50.3448275862069(+0.503448275862069)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 46.206896551724135(+0.5379310344827587)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 56.55172413793103(+0.4344827586206897)', 'propagation_cost': 'propagation_cost percentile: 20.689655172413794(+0.7931034482758621)', 'core_size': 'core_size percentile: 19.310344827586206(+0.806896551724138)'}",LOC,145,3.07,1.6,0.5,0.97,"{'useful_comment_density': 'useful_comment_density percentile: 50.3448275862069(+0.503448275862069)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 46.206896551724135(+0.5379310344827587)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 56.55172413793103(+0.4344827586206897)', 'propagation_cost': 'propagation_cost percentile: 20.689655172413794(+0.7931034482758621)', 'core_size': 'core_size percentile: 19.310344827586206(+0.806896551724138)'}",LOC,145
