name,owner,url,version,creation date,stars,watches,forks,contributors,languages,open issues,closed issues,commits,defect_proneness,last year commit #,description,topics,releases_count,Project Name,Useful Lines of Code (ULOC),Software Lines of Code (SLOC),Duplicate Useful Lines of Code,Classes,Files,Architecture Type,Core,Core Size,Central Size,Propagation Cost,Overly Complex Files,Useful Comment Density
freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2019-08-26T21:59:47Z,2014-12-24T17:49:19Z,304484,8381,22463,706,JavaScript,200,13542,22504,44.23658016352648,8806,The https://www.freeCodeCamp.org open source codebase and curriculum. Learn to code for free together with millions of people.,"['learn-to-code', 'nonprofits', 'programming', 'nodejs', 'react', 'd3', 'careers', 'education', 'teachers', 'javascript', 'certification', 'curriculum', 'math', 'community']",0,freeCodeCamp/freeCodeCamp,25737,30776,3628,55,447,Hierarchical,False,2.7,59.1,1.673,0.0,3.5
vue,vuejs,https://github.com/vuejs/vue,2019-08-24T11:11:00Z,2013-07-29T03:24:51Z,146824,5981,21505,8,JavaScript,232,8104,2989,37.10270993643359,423,"🖖 Vue.js is a progressive, incrementally-adoptable JavaScript framework for building UI on the web.","['vue', 'javascript', 'frontend', 'framework']",248,vuejs/vue,102940,131873,83607,82,477,Hierarchical,False,0.8,58.5,0.621,0.2,13.5
react,facebook,https://github.com/facebook/react,2019-08-26T20:53:57Z,2013-05-24T16:15:54Z,135058,6640,25257,703,JavaScript,657,7284,10785,31.423273064441354,1058,"A declarative, efficient, and flexible JavaScript library for building user interfaces.","['javascript', 'react', 'frontend', 'declarative', 'ui', 'library']",118,facebook/react,98454,127475,20840,1505,919,Hierarchical,False,0.3,26.7,0.162,0.0,11.6
d3,d3,https://github.com/d3/d3,2019-08-23T13:13:48Z,2010-09-27T17:22:42Z,86893,4051,21205,114,JavaScript,4,2006,4167,23.854091672666186,36,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",['visualization'],254,d3/d3,107,123,0,,5,Hierarchical,False,0,0.0,20.000,0.0,0.0
javascript,airbnb,https://github.com/airbnb/javascript,2019-08-18T06:51:59Z,2012-11-01T23:13:50Z,88353,3454,16989,308,JavaScript,78,836,1715,23.38192419825073,88,JavaScript Style Guide,"['javascript', 'eslint', 'naming-conventions', 'arrow-functions', 'style-guide', 'style-linter', 'es6', 'es2015', 'linting', 'styleguide', 'es2016', 'es2017', 'es2018', 'tc39']",90,airbnb/javascript,1340,1400,134,,22,Hierarchical,False,0,27.3,5.372,0.0,60.7
react-native,facebook,https://github.com/facebook/react-native,2019-08-26T22:33:53Z,2015-01-09T18:10:16Z,80381,3754,17960,441,JavaScript,615,16651,16305,37.798221404477154,3426,A framework for building native apps with React.,[],324,facebook/react-native,71363,92749,68293,264,954,Hierarchical,False,0,0.9,0.105,0.0,20.6
create-react-app,facebook,https://github.com/facebook/create-react-app,2019-08-26T13:45:58Z,2016-07-17T14:55:11Z,71006,1825,16377,26,JavaScript,348,4509,2158,32.34476367006487,713,Set up a modern web app by running one command.,"['react', 'zero-configuration', 'build-tools']",308,facebook/create-react-app,8185,10256,286,49,272,Hierarchical,False,0.7,53.7,0.737,0.0,16.4
angular.js,angular,https://github.com/angular/angular.js,2019-08-18T21:18:57Z,2010-01-06T00:34:37Z,59622,4167,28902,58,JavaScript,386,8559,8961,47.818323847784846,88,AngularJS - HTML enhanced for web apps!,[],204,angular/angular.js,199717,225614,115330,78,1195,Hierarchical,False,0,2.2,0.085,0.0,12.0
Font-Awesome,FortAwesome,https://github.com/FortAwesome/Font-Awesome,2019-08-22T20:38:32Z,2012-02-17T14:19:43Z,60769,1410,10257,2,JavaScript,4865,9914,47,17.02127659574468,28,"The iconic SVG, font, and CSS toolkit","['fontawesome', 'icons', 'webfont', 'font', 'css', 'svg-icons', 'svg-sprites']",54,FortAwesome/Font-Awesome,98037,104632,58551,14,3098,Hierarchical,False,0,0.0,0.032,0.0,0.3
axios,axios,https://github.com/axios/axios,2019-08-26T10:35:39Z,2014-08-18T22:30:27Z,63756,1132,5320,99,JavaScript,552,1301,839,28.00953516090584,23,Promise based HTTP client for the browser and node.js,"['http-client', 'javascript', 'nodejs', 'promise']",40,axios/axios,4648,5921,375,14,90,Hierarchical,False,0,6.7,1.173,0.0,17.7
