,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count
0,"['monitoring', 'iot', 'metrics', 'notifications', 'docker', 'statsd', 'kubernetes', 'cncf', 'prometheus', 'containers', 'netdata', 'analytics', 'devops', 'time-series', 'observability', 'alerting', 'graphing', 'influxdb', 'grafana', 'graphite']",netdata/netdata,45977,2573,Core-Periphery,True,72.5,72.5,72.03,10.0,13.4,5.5962763990691,1.57,0.1,0.35,1.12,"{'useful_comment_density': 'useful_comment_density percentile: 34.82142857142857(+0.3482142857142857)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 53.57142857142857(+0.4642857142857143)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 34.82142857142857(+0.6517857142857143)', 'propagation_cost': 'propagation_cost percentile: 95.53571428571429(+0.04464285714285708)', 'core_size': 'core_size percentile: 94.64285714285714(+0.05357142857142861)'}",LOC,112
1,[],antirez/redis,92716,3599,Core-Periphery,True,16.3,42.8,14.634,12.8,28.1,3.8817464083869018,3.09,1.36,0.57,1.16,"{'useful_comment_density': 'useful_comment_density percentile: 56.666666666666664(+0.5666666666666667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 70.0(+0.3)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 14.444444444444445(+0.8555555555555556)', 'propagation_cost': 'propagation_cost percentile: 33.333333333333336(+0.6666666666666665)', 'core_size': 'core_size percentile: 31.11111111111111(+0.6888888888888889)'}",LOC,90
2,"['c', 'shell']",git/git,168210,1256,Core-Periphery,True,52.6,52.6,52.368,22.1,16.0,0.7466856905059153,1.49,0.2,0.18,1.11,"{'useful_comment_density': 'useful_comment_density percentile: 18.181818181818183(+0.18181818181818182)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 89.39393939393939(+0.10606060606060609)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 0.0(+1.0)', 'propagation_cost': 'propagation_cost percentile: 90.9090909090909(+0.09090909090909094)', 'core_size': 'core_size percentile: 89.39393939393939(+0.10606060606060609)'}",LOC,66
3,"['ijkplayer', 'android', 'ios', 'video', 'player', 'ffmpeg']",bilibili/ijkplayer,18219,1320,Core-Periphery,True,15.7,24.6,21.784000000000002,4.0,7.3,7.245183599538943,2.32,1.21,0.1,1.01,"{'useful_comment_density': 'useful_comment_density percentile: 10.317460317460318(+0.10317460317460318)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 38.095238095238095(+0.6190476190476191)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 61.111111111111114(+0.38888888888888884)', 'propagation_cost': 'propagation_cost percentile: 40.476190476190474(+0.5952380952380952)', 'core_size': 'core_size percentile: 38.095238095238095(+0.6190476190476191)'}",LOC,126
4,[],php/php-src,478527,112581,Core-Periphery,True,25.2,37.4,22.643,12.1,10.9,23.5265721683416,1.66,0.91,0.22,0.53,"{'useful_comment_density': 'useful_comment_density percentile: 21.875(+0.21875)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 56.25(+0.4375)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 90.625(+0.09375)', 'propagation_cost': 'propagation_cost percentile: 56.25(+0.4375)', 'core_size': 'core_size percentile: 53.125(+0.46875)'}",LOC,32
5,[],wg/wrk,3282,0,Core-Periphery,True,7.4,25.9,22.497,7.4,14.6,0.0,2.81,1.34,0.38,1.09,"{'useful_comment_density': 'useful_comment_density percentile: 38.372093023255815(+0.38372093023255816)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 81.3953488372093(+0.18604651162790703)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 9.30232558139535(+0.9069767441860465)', 'propagation_cost': 'propagation_cost percentile: 31.3953488372093(+0.686046511627907)', 'core_size': 'core_size percentile: 34.883720930232556(+0.6511627906976745)'}",LOC,86
6,[],SamyPesse/How-to-Make-a-Computer-Operating-System,12984,848,Core-Periphery,True,8.3,28.0,11.852,0.8,22.5,6.531115218730746,3.4,1.53,0.56,1.31,"{'useful_comment_density': 'useful_comment_density percentile: 55.55555555555556(+0.5555555555555556)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 7.6923076923076925(+0.923076923076923)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 61.53846153846154(+0.3846153846153846)', 'propagation_cost': 'propagation_cost percentile: 17.94871794871795(+0.8205128205128205)', 'core_size': 'core_size percentile: 29.05982905982906(+0.7094017094017094)'}",LOC,117
7,"['command-line-tool', 'c', 'silver-searcher', 'pcre', 'ag', 'search-in-text']",ggreer/the_silver_searcher,2417,48,Core-Periphery,True,8.7,21.7,26.843000000000004,4.3,12.6,1.985932974762102,2.2,1.12,0.3,0.78,"{'useful_comment_density': 'useful_comment_density percentile: 30.136986301369863(+0.3013698630136986)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 71.23287671232876(+0.28767123287671237)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 50.68493150684932(+0.4931506849315068)', 'propagation_cost': 'propagation_cost percentile: 42.465753424657535(+0.5753424657534246)', 'core_size': 'core_size percentile: 45.89041095890411(+0.5410958904109588)'}",LOC,73
8,[],emscripten-core/emscripten,625552,98984,Core-Periphery,True,7.6,34.8,7.322,5.6,27.8,15.823464715962862,3.54,1.66,0.72,1.16,"{'useful_comment_density': 'useful_comment_density percentile: 71.875(+0.71875)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 28.125(+0.71875)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 56.25(+0.4375)', 'propagation_cost': 'propagation_cost percentile: 15.625(+0.84375)', 'core_size': 'core_size percentile: 18.75(+0.8125)'}",LOC,32
10,"['ffmpeg', 'video', 'audio', 'c', 'mpeg', 'webm', 'mp4', 'matroska', 'hls', 'rtsp', 'rtmp', 'hevc', 'fft', 'multimedia', 'streaming']",FFmpeg/FFmpeg,810099,67781,Core-Periphery,True,7.6,30.0,8.691,10.4,9.4,8.367002057773187,3.12,1.6,0.16,1.36,"{'useful_comment_density': 'useful_comment_density percentile: 16.0(+0.16)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 48.0(+0.52)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 16.0(+0.84)', 'propagation_cost': 'propagation_cost percentile: 24.0(+0.76)', 'core_size': 'core_size percentile: 16.0(+0.84)'}",NEAREST,25
