,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count
0,"['shadowsocks', 'c-sharp', 'proxy']",shadowsocks/shadowsocks-windows,10263,58,Core-Periphery,True,46.0,50.6,45.99,9.2,10.2,0.5651368995420443,1.25,0.06,0.21,0.98,"{'useful_comment_density': 'useful_comment_density percentile: 20.666666666666668(+0.20666666666666667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 92.33333333333333(+0.07666666666666672)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 9.333333333333334(+0.9066666666666667)', 'propagation_cost': 'propagation_cost percentile: 96.0(+0.04)', 'core_size': 'core_size percentile: 98.0(+0.02)'}",LOC,150
1,"['codehub', 'c-sharp', 'github', 'reactiveui']",CodeHubApp/CodeHub,18320,708,Core-Periphery,True,8.4,22.5,12.61,1.8,4.4,3.8646288209606987,2.32,0.95,0.05,1.32,"{'useful_comment_density': 'useful_comment_density percentile: 4.918032786885246(+0.04918032786885246)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 23.497267759562842(+0.7650273224043715)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 44.80874316939891(+0.5519125683060109)', 'propagation_cost': 'propagation_cost percentile: 53.005464480874316(+0.46994535519125685)', 'core_size': 'core_size percentile: 52.459016393442624(+0.47540983606557374)'}",LOC,183
2,"['corefx', 'coreclr', 'microsoft', 'csharp', 'dotnet', 'dotnet-core', 'dotnetcore']",dotnet/corefx,2115649,318544,Core-Periphery,True,23.4,29.6,23.869,10.7,18.6,15.056561839889321,1.32,0.4,0.32,0.6,"{'useful_comment_density': 'useful_comment_density percentile: 32.0(+0.32)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 76.0(+0.24)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 64.0(+0.36)', 'propagation_cost': 'propagation_cost percentile: 80.0(+0.2)', 'core_size': 'core_size percentile: 80.0(+0.2)'}",NEAREST,25
3,"['powershell', 'windows', 'macos', 'linux', 'command-line', 'shell', 'netcore']",PowerShell/PowerShell,293506,28131,Core-Periphery,True,46.6,46.6,43.312,26.2,54.8,9.584471867696061,1.54,0.07,0.97,0.5,"{'useful_comment_density': 'useful_comment_density percentile: 96.66666666666667(+0.9666666666666667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 100.0(+0.0)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 50.0(+0.5)', 'propagation_cost': 'propagation_cost percentile: 93.33333333333333(+0.06666666666666671)', 'core_size': 'core_size percentile: 100.0(+0.0)'}",LOC,30
4,"['launchy', 'alfred', 'launcher', 'wox', 'spotlight', 'windows']",Wox-launcher/Wox,7638,30,Multi-Core,False,4.2,32.1,7.3660000000000005,1.8,10.6,0.3927729772191673,3.01,1.29,0.21,1.51,"{'useful_comment_density': 'useful_comment_density percentile: 20.863309352517987(+0.20863309352517986)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 39.20863309352518(+0.6079136690647482)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 9.352517985611511(+0.9064748201438849)', 'propagation_cost': 'propagation_cost percentile: 34.53237410071942(+0.6546762589928058)', 'core_size': 'core_size percentile: 36.330935251798564(+0.6366906474820143)'}",LOC,139
6,"['coreclr', 'corefx', 'c-sharp', 'dotnet', 'dotnet-core', 'dotnetcore', 'runtime', 'jit']",dotnet/coreclr,1423265,488824,Core-Periphery,True,12.6,55.7,12.727,9.0,9.9,34.34525545137413,1.68,1.04,0.08,0.56,"{'useful_comment_density': 'useful_comment_density percentile: 8.0(+0.08)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 60.0(+0.4)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 84.0(+0.16)', 'propagation_cost': 'propagation_cost percentile: 40.0(+0.6)', 'core_size': 'core_size percentile: 56.0(+0.44)'}",NEAREST,25
10,"['assembly-editor', 'debugger', 'decompiler']",0xd4d/dnSpy,288881,23396,Hierarchical,False,2.9,24.3,1.5319999999999998,4.9,21.2,8.098836545151809,3.74,1.81,0.45,1.48,"{'useful_comment_density': 'useful_comment_density percentile: 45.16129032258065(+0.4516129032258065)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 16.129032258064516(+0.8387096774193549)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 35.483870967741936(+0.6451612903225806)', 'propagation_cost': 'propagation_cost percentile: 3.225806451612903(+0.967741935483871)', 'core_size': 'core_size percentile: 16.129032258064516(+0.8387096774193549)'}",LOC,31
7,"['dapper', 'sql', 'ado-net']",StackExchange/Dapper,12337,527,Core-Periphery,True,13.8,20.3,14.288,8.7,30.9,4.271703007214072,1.9,0.67,0.65,0.58,"{'useful_comment_density': 'useful_comment_density percentile: 65.38461538461539(+0.6538461538461539)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 89.1025641025641(+0.10897435897435898)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 53.205128205128204(+0.46794871794871795)', 'propagation_cost': 'propagation_cost percentile: 63.46153846153846(+0.3653846153846154)', 'core_size': 'core_size percentile: 69.23076923076923(+0.3076923076923077)'}",LOC,156
9,"['docker', 'netcore', 'windowscontainers', 'xamarin', 'spa', 'microservices', 'ddd', 'ddd-patterns']",dotnet-architecture/eShopOnContainers,31766,11084,Hierarchical,False,1.1,29.4,0.775,0.1,19.8,34.89265252156394,3.36,1.8,0.37,1.19,"{'useful_comment_density': 'useful_comment_density percentile: 37.03703703703704(+0.3703703703703704)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 0.0(+1.0)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 81.48148148148148(+0.1851851851851852)', 'propagation_cost': 'propagation_cost percentile: 0.0(+1.0)', 'core_size': 'core_size percentile: 20.37037037037037(+0.7962962962962963)'}","TOPIC ['docker', 'netcore', 'windowscontainers', 'xamarin', 'spa', 'microservices', 'ddd', 'ddd-patterns']",27
8,"['screen-capture', 'screen-recorder', 'file-sharing', 'file-upload', 'url-shortener', 'color-picker', 'region-capture', 'imgur', 'dropbox', 'gif', 'gif-recorder', 'ocr', 'productivity', 'image-annotation', 'ftp', 'share', 'screenshot', 'sharex', 'capture', 'csharp']",ShareX/ShareX,67731,701,Core-Periphery,True,9.9,22.2,16.659000000000002,5.7,14.9,1.0349765986032984,2.46,0.74,0.35,1.37,"{'useful_comment_density': 'useful_comment_density percentile: 34.74576271186441(+0.3474576271186441)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 62.71186440677966(+0.3728813559322034)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 0.0(+1.0)', 'propagation_cost': 'propagation_cost percentile: 67.79661016949153(+0.3220338983050847)', 'core_size': 'core_size percentile: 58.47457627118644(+0.4152542372881356)'}",LOC,118
14,"['decompiler', 'decompiler-engine', 'c-sharp', 'dotnet', 'dotnetcore', 'mono', 'unity', 'pdb', 'ilspy', 'decompile']",icsharpcode/ILSpy,102254,8049,Core-Periphery,True,29.1,29.1,29.414,9.0,16.7,7.871574706123965,1.4,0.33,0.37,0.7,"{'useful_comment_density': 'useful_comment_density percentile: 36.70886075949367(+0.36708860759493667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 87.34177215189874(+0.1265822784810126)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 43.037974683544306(+0.5696202531645569)', 'propagation_cost': 'propagation_cost percentile: 83.54430379746836(+0.16455696202531642)', 'core_size': 'core_size percentile: 83.54430379746836(+0.16455696202531642)'}",LOC,79
18,"['gif', 'recorder', 'editor', 'video', 'webcam', 'sketchboard', 'wpf']",NickeManarin/ScreenToGif,28538,1897,Multi-Core,False,4.1,35.9,4.863,9.5,31.5,6.647277314457916,2.67,1.42,0.67,0.58,"{'useful_comment_density': 'useful_comment_density percentile: 66.66666666666667(+0.6666666666666667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 83.33333333333333(+0.1666666666666667)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 58.333333333333336(+0.41666666666666663)', 'propagation_cost': 'propagation_cost percentile: 20.555555555555557(+0.7944444444444444)', 'core_size': 'core_size percentile: 37.22222222222222(+0.6277777777777778)'}",LOC,180
13,"['entity-framework', 'database', 'c-sharp', 'dotnet-core', 'dotnet-standard', 'dotnet-framework', 'orm', 'aspnet-product']",aspnet/EntityFrameworkCore,384217,48506,Core-Periphery,True,11.2,16.6,15.559000000000001,8.6,18.0,12.624636598588818,2.0,0.92,0.24,0.84,"{'useful_comment_density': 'useful_comment_density percentile: 24.0(+0.24)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 56.0(+0.44)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 60.0(+0.4)', 'propagation_cost': 'propagation_cost percentile: 56.0(+0.44)', 'core_size': 'core_size percentile: 52.0(+0.48)'}",NEAREST,25
17,"['c-sharp', 'best-practices', 'aspnet', 'aspnetcore', 'domain-driven-design', 'architecture', 'framework', 'dotnet', 'multi-tenancy', 'abp', 'aspnet-core']",aspnetboilerplate/aspnetboilerplate,56096,4056,Hierarchical,False,0.2,22.2,3.535,0.5,30.6,7.230462065031375,3.85,1.76,0.59,1.5,"{'useful_comment_density': 'useful_comment_density percentile: 59.01639344262295(+0.5901639344262295)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 1.639344262295082(+0.9836065573770492)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 48.36065573770492(+0.5163934426229508)', 'propagation_cost': 'propagation_cost percentile: 22.131147540983605(+0.7786885245901639)', 'core_size': 'core_size percentile: 1.639344262295082(+0.9836065573770492)'}",LOC,122
16,"['json', 'c-sharp']",JamesNK/Newtonsoft.Json,73873,8899,Core-Periphery,True,9.4,19.5,9.21,8.7,12.7,12.046349816577099,1.73,0.97,0.26,0.5,"{'useful_comment_density': 'useful_comment_density percentile: 26.08695652173913(+0.2608695652173913)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 80.8695652173913(+0.19130434782608702)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 69.56521739130434(+0.30434782608695654)', 'propagation_cost': 'propagation_cost percentile: 46.95652173913044(+0.5304347826086956)', 'core_size': 'core_size percentile: 56.52173913043478(+0.43478260869565216)'}",LOC,115
22,"['c-sharp', 'material', 'xaml', 'theme', 'dragablz', 'design', 'material-design', 'wpf']",MaterialDesignInXAML/MaterialDesignInXamlToolkit,13986,102,Hierarchical,False,2.4,64.8,1.58,3.2,13.1,0.7293007293007293,3.3,1.66,0.25,1.39,"{'useful_comment_density': 'useful_comment_density percentile: 25.157232704402517(+0.25157232704402516)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 54.088050314465406(+0.4591194968553459)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 6.918238993710692(+0.9308176100628931)', 'propagation_cost': 'propagation_cost percentile: 1.8867924528301887(+0.9811320754716981)', 'core_size': 'core_size percentile: 31.761006289308177(+0.6823899371069183)'}",LOC,159
23,"['c-sharp', 'xaml', 'multi-platform', 'gui', 'avalonia']",AvaloniaUI/Avalonia,92993,3886,Hierarchical,False,2.6,21.0,14.142999999999999,4.6,28.8,4.1788091576785344,3.09,1.12,0.61,1.36,"{'useful_comment_density': 'useful_comment_density percentile: 61.05263157894737(+0.6105263157894737)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 46.8421052631579(+0.531578947368421)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 16.842105263157894(+0.8315789473684211)', 'propagation_cost': 'propagation_cost percentile: 61.05263157894737(+0.3894736842105263)', 'core_size': 'core_size percentile: 27.36842105263158(+0.7263157894736842)'}",LOC,95
15,"['nancy', 'c-sharp', 'nancy-application', 'mono', 'web', 'web-application-framework', 'framework', 'dotnet', 'dotnet-core', 'mit', 'nancyfx']",NancyFx/Nancy,43213,3362,Hierarchical,False,2.5,22.1,8.093,3.4,52.5,7.780066183787286,2.79,1.15,0.82,0.82,"{'useful_comment_density': 'useful_comment_density percentile: 82.05128205128206(+0.8205128205128206)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 51.282051282051285(+0.48717948717948717)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 66.66666666666667(+0.33333333333333326)', 'propagation_cost': 'propagation_cost percentile: 46.15384615384615(+0.5384615384615384)', 'core_size': 'core_size percentile: 38.46153846153846(+0.6153846153846154)'}","TOPIC ['nancy', 'nancy-application', 'mono', 'web', 'web-application-framework', 'framework', 'dotnet', 'dotnet-core', 'mit', 'nancyfx']",39
21,"['c-sharp', 'game-engine', 'strategy-game-engine']",OpenRA/OpenRA,86107,944,Core-Periphery,True,12.7,18.3,18.884,4.1,5.3,1.096310404496731,2.27,0.65,0.04,1.58,"{'useful_comment_density': 'useful_comment_density percentile: 4.166666666666667(+0.04166666666666667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 40.625(+0.59375)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 1.0416666666666667(+0.9895833333333333)', 'propagation_cost': 'propagation_cost percentile: 70.83333333333333(+0.29166666666666674)', 'core_size': 'core_size percentile: 64.58333333333333(+0.35416666666666674)'}",LOC,96
20,[],restsharp/RestSharp,10365,822,Hierarchical,False,2.1,19.3,11.41,6.9,26.1,7.930535455861071,2.2,1.24,0.6,0.36,"{'useful_comment_density': 'useful_comment_density percentile: 59.602649006622514(+0.5960264900662251)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 85.43046357615894(+0.14569536423841056)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 78.1456953642384(+0.21854304635761593)', 'propagation_cost': 'propagation_cost percentile: 51.65562913907285(+0.4834437086092715)', 'core_size': 'core_size percentile: 24.834437086092716(+0.7516556291390728)'}",LOC,151
19,[],AutoMapper/AutoMapper,29625,5280,Core-Periphery,True,23.4,51.6,21.035999999999998,1.1,5.8,17.82278481012658,1.69,0.52,0.12,1.05,"{'useful_comment_density': 'useful_comment_density percentile: 11.864406779661017(+0.11864406779661017)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 11.864406779661017(+0.8813559322033899)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 83.61581920903954(+0.16384180790960456)', 'propagation_cost': 'propagation_cost percentile: 70.62146892655367(+0.29378531073446323)', 'core_size': 'core_size percentile: 77.40112994350282(+0.22598870056497178)'}",LOC,177
31,"['reinforcement-learning', 'unity3d', 'deep-learning', 'unity', 'deep-reinforcement-learning', 'neural-networks']",Unity-Technologies/ml-agents,6206,909,Core-Periphery,True,9.3,25.6,18.635,1.6,38.3,14.647115694489205,2.31,0.79,0.78,0.74,"{'useful_comment_density': 'useful_comment_density percentile: 77.6978417266187(+0.7769784172661871)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 33.093525179856115(+0.6690647482014388)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 92.80575539568345(+0.07194244604316552)', 'propagation_cost': 'propagation_cost percentile: 66.18705035971223(+0.3381294964028777)', 'core_size': 'core_size percentile: 54.67625899280576(+0.45323741007194246)'}",LOC,139
28,"['circuit-breaker', 'circuit-breaker-pattern', 'resilience', 'resiliency-patterns', 'retry-strategies', 'dotnet', 'fault-handler', 'transient-fault-handling']",App-vNext/Polly,29859,8605,Hierarchical,False,0.8,15.8,5.803,13.5,34.1,28.818781606885697,2.55,1.65,0.78,0.12,"{'useful_comment_density': 'useful_comment_density percentile: 77.5(+0.775)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 95.0(+0.05)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 92.5(+0.075)', 'propagation_cost': 'propagation_cost percentile: 32.5(+0.675)', 'core_size': 'core_size percentile: 2.5(+0.975)'}","TOPIC ['circuit-breaker', 'circuit-breaker-pattern', 'resilience', 'resiliency-patterns', 'retry-strategies', 'dotnet', 'fault-handler', 'transient-fault-handling']",40
30,"['machine-learning', 'algorithms', 'dotnet', 'ml']",dotnet/machinelearning,160206,11352,Core-Periphery,True,9.7,17.2,18.3,14.6,31.6,7.085876933448186,2.07,0.7,0.72,0.65,"{'useful_comment_density': 'useful_comment_density percentile: 71.9298245614035(+0.7192982456140351)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 96.49122807017544(+0.03508771929824562)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 38.59649122807018(+0.6140350877192983)', 'propagation_cost': 'propagation_cost percentile: 73.6842105263158(+0.26315789473684204)', 'core_size': 'core_size percentile: 56.14035087719298(+0.4385964912280702)'}",LOC,57
27,"['mahapps', 'metro', 'wpf', 'metro-application', 'xaml', 'ui', 'wpf-mahapps', 'modern', 'windows', 'visual', 'c-sharp', 'oss', 'open-source', 'theme']",MahApps/MahApps.Metro,16490,463,Core-Periphery,True,6.7,32.9,6.2589999999999995,6.3,27.3,2.8077622801698,2.26,0.74,0.67,0.85,"{'useful_comment_density': 'useful_comment_density percentile: 66.66666666666667(+0.6666666666666667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 92.5925925925926(+0.07407407407407404)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 22.22222222222222(+0.7777777777777777)', 'propagation_cost': 'propagation_cost percentile: 55.55555555555556(+0.4444444444444444)', 'core_size': 'core_size percentile: 70.37037037037037(+0.29629629629629634)'}","TOPIC ['mahapps', 'metro', 'wpf', 'metro-application', 'xaml', 'ui', 'wpf-mahapps', 'modern', 'windows', 'visual', 'oss', 'open-source', 'theme']",27
