,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count
0,"['java', 'principles', 'design-patterns', 'awesome-list', 'snippets', 'snippets-collection', 'snippets-library']",iluwatar/java-design-patterns,24056,892,Hierarchical,False,0.4,16.7,0.376,0.0,26.0,3.708014632524111,4.46,1.97,0.8,1.69,"{'useful_comment_density': 'useful_comment_density percentile: 80.21978021978022(+0.8021978021978022)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 1.9230769230769231(+0.9807692307692308)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 29.12087912087912(+0.7087912087912087)', 'propagation_cost': 'propagation_cost percentile: 0.5494505494505495(+0.9945054945054944)', 'core_size': 'core_size percentile: 2.197802197802198(+0.978021978021978)'}",LOC,182
1,"['java', 'rxjava', 'flow', 'reactive-streams']",ReactiveX/RxJava,226214,57107,Core-Periphery,True,37.7,52.7,40.264,13.3,18.9,25.244679816456983,0.81,0.08,0.58,0.15,"{'useful_comment_density': 'useful_comment_density percentile: 57.69230769230769(+0.576923076923077)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 98.07692307692308(+0.019230769230769197)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 86.53846153846153(+0.13461538461538466)', 'propagation_cost': 'propagation_cost percentile: 96.15384615384616(+0.038461538461538394)', 'core_size': 'core_size percentile: 96.15384615384616(+0.038461538461538394)'}",LOC,52
2,"['elasticsearch', 'java', 'search-engine']",elastic/elasticsearch,1150023,88377,Core-Periphery,True,21.2,11.3,24.090999999999998,8.0,8.7,7.684802825682617,1.76,0.48,0.16,1.12,"{'useful_comment_density': 'useful_comment_density percentile: 16.0(+0.16)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 60.0(+0.4)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 28.0(+0.72)', 'propagation_cost': 'propagation_cost percentile: 80.0(+0.2)', 'core_size': 'core_size percentile: 72.0(+0.28)'}",NEAREST,25
4,"['java', 'android']",square/retrofit,16690,2335,Core-Periphery,True,9.1,17.8,13.982000000000001,1.2,7.9,13.990413421210304,2.02,0.94,0.21,0.87,"{'useful_comment_density': 'useful_comment_density percentile: 20.85308056872038(+0.2085308056872038)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 24.407582938388625(+0.7559241706161137)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 88.15165876777252(+0.11848341232227483)', 'propagation_cost': 'propagation_cost percentile: 49.28909952606635(+0.5071090047393365)', 'core_size': 'core_size percentile: 56.39810426540284(+0.43601895734597157)'}",LOC,211
6,"['java', 'android', 'kotlin']",square/okhttp,45515,2296,Core-Periphery,True,22.1,19.0,23.308000000000003,11.4,12.8,5.044490827199824,1.65,0.58,0.46,0.61,"{'useful_comment_density': 'useful_comment_density percentile: 45.6953642384106(+0.45695364238410596)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 96.6887417218543(+0.033112582781457005)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 42.384105960264904(+0.5761589403973509)', 'propagation_cost': 'propagation_cost percentile: 68.21192052980132(+0.3178807947019868)', 'core_size': 'core_size percentile: 73.50993377483444(+0.26490066225165565)'}",LOC,151
7,"['guava', 'java']",google/guava,409572,183948,Hierarchical,False,3.6,55.2,4.643,11.3,22.1,44.91224986083033,2.47,1.6,0.8,0.07,"{'useful_comment_density': 'useful_comment_density percentile: 80.0(+0.8)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 93.33333333333333(+0.06666666666666671)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 100.0(+0.0)', 'propagation_cost': 'propagation_cost percentile: 20.0(+0.8)', 'core_size': 'core_size percentile: 20.0(+0.8)'}",LOC,30
8,"['java', 'chart', 'graph', 'android', 'mpandroidchart']",PhilJay/MPAndroidChart,20640,2631,Core-Periphery,True,7.3,19.1,26.938000000000002,5.5,23.3,12.747093023255815,1.84,0.73,0.77,0.34,"{'useful_comment_density': 'useful_comment_density percentile: 76.73267326732673(+0.7673267326732673)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 80.6930693069307(+0.19306930693069305)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 85.14851485148515(+0.14851485148514854)', 'propagation_cost': 'propagation_cost percentile: 77.22772277227723(+0.22772277227722768)', 'core_size': 'core_size percentile: 49.504950495049506(+0.504950495049505)'}",LOC,202
9,"['framework', 'spring', 'spring-framework']",spring-projects/spring-framework,517928,37318,Hierarchical,False,0.4,19.6,2.6839999999999997,5.4,30.8,7.205248605983844,4.01,1.83,0.9,1.28,"{'useful_comment_density': 'useful_comment_density percentile: 89.65517241379311(+0.896551724137931)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 41.37931034482759(+0.5862068965517241)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 31.03448275862069(+0.689655172413793)', 'propagation_cost': 'propagation_cost percentile: 13.793103448275861(+0.8620689655172414)', 'core_size': 'core_size percentile: 3.4482758620689653(+0.9655172413793103)'}",LOC,29
10,"['android', 'imageloader', 'gif', 'disk-cache', 'glide']",bumptech/glide,58529,11580,Core-Periphery,True,12.7,19.5,17.043,5.4,14.4,19.785063814519297,1.99,1.02,0.47,0.5,"{'useful_comment_density': 'useful_comment_density percentile: 46.875(+0.46875)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 60.15625(+0.3984375)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 89.84375(+0.1015625)', 'propagation_cost': 'propagation_cost percentile: 48.4375(+0.515625)', 'core_size': 'core_size percentile: 49.21875(+0.5078125)'}",LOC,128
11,"['animation', 'android', 'lottie', 'airbnb', 'after-effects']",airbnb/lottie-android,10418,334,Core-Periphery,True,60.4,60.4,56.573,2.7,9.0,3.205989633326934,1.38,0.06,0.22,1.1,"{'useful_comment_density': 'useful_comment_density percentile: 21.73913043478261(+0.21739130434782608)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 51.690821256038646(+0.48309178743961356)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 38.16425120772947(+0.6183574879227053)', 'propagation_cost': 'propagation_cost percentile: 96.61835748792271(+0.03381642512077292)', 'core_size': 'core_size percentile: 97.58454106280193(+0.024154589371980676)'}",LOC,207
12,['dubbo'],apache/incubator-dubbo,99273,14770,Hierarchical,False,1.2,21.0,3.4539999999999997,3.0,10.1,14.878164254127507,3.14,1.87,0.25,1.02,"{'useful_comment_density': 'useful_comment_density percentile: 24.747474747474747(+0.2474747474747475)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 22.727272727272727(+0.7727272727272728)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 75.75757575757575(+0.2424242424242425)', 'propagation_cost': 'propagation_cost percentile: 8.080808080808081(+0.9191919191919191)', 'core_size': 'core_size percentile: 5.05050505050505(+0.9494949494949495)'}",LOC,99
13,[],JakeWharton/butterknife,11324,2605,Borderline Core-Periphery,True,4.5,56.1,16.891,1.9,4.5,23.004238784881668,1.87,1.11,0.11,0.65,"{'useful_comment_density': 'useful_comment_density percentile: 10.663507109004739(+0.10663507109004738)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 40.52132701421801(+0.5947867298578199)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 94.31279620853081(+0.05687203791469187)', 'propagation_cost': 'propagation_cost percentile: 51.18483412322275(+0.4881516587677725)', 'core_size': 'core_size percentile: 37.91469194312796(+0.6208530805687204)'}",LOC,211
14,"['android', 'app', 'bar', 'cache', 'encode', 'encrypt', 'file', 'fragment', 'log', 'network', 'permission', 'regex', 'snackbar', 'spannable-string', 'toast', 'utils', 'thread-pool', 'reflect', 'androidx', 'eventbus']",Blankj/AndroidUtilCode,18185,1596,Hierarchical,False,1.5,54.9,1.849,10.5,46.1,8.776464118779213,3.04,1.79,0.96,0.29,"{'useful_comment_density': 'useful_comment_density percentile: 96.07843137254902(+0.9607843137254902)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 96.56862745098039(+0.03431372549019614)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 74.01960784313725(+0.25980392156862747)', 'propagation_cost': 'propagation_cost percentile: 4.901960784313726(+0.9509803921568627)', 'core_size': 'core_size percentile: 16.176470588235293(+0.8382352941176471)'}",LOC,204
15,"['java', 'android', 'barcode', 'barcode-scanner', 'zxing', 'qr-code', 'datamatrix', 'upc']",zxing/zxing,36361,1314,Borderline Core-Periphery,True,4.6,19.7,6.996,2.6,17.3,3.6137619977448368,3.27,1.41,0.57,1.29,"{'useful_comment_density': 'useful_comment_density percentile: 57.142857142857146(+0.5714285714285715)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 43.47826086956522(+0.5652173913043478)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 27.950310559006212(+0.7204968944099379)', 'propagation_cost': 'propagation_cost percentile: 27.950310559006212(+0.7204968944099379)', 'core_size': 'core_size percentile: 31.055900621118013(+0.6894409937888198)'}",LOC,161
16,[],greenrobot/EventBus,4209,76,Core-Periphery,True,8.3,15.6,18.717,1.0,7.4,1.805654549774293,2.68,1.1,0.23,1.35,"{'useful_comment_density': 'useful_comment_density percentile: 22.606382978723403(+0.22606382978723402)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 27.659574468085108(+0.7234042553191489)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 37.765957446808514(+0.6223404255319148)', 'propagation_cost': 'propagation_cost percentile: 43.61702127659574(+0.5638297872340425)', 'core_size': 'core_size percentile: 46.276595744680854(+0.5372340425531914)'}",LOC,188
17,[],proxyee-down-org/proxyee-down,3227,0,Core-Periphery,True,33.3,14.3,33.277,4.8,6.5,0.0,1.6,0.24,0.24,1.12,"{'useful_comment_density': 'useful_comment_density percentile: 24.210526315789473(+0.2421052631578947)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 79.47368421052632(+0.20526315789473684)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 8.68421052631579(+0.9131578947368421)', 'propagation_cost': 'propagation_cost percentile: 84.73684210526316(+0.15263157894736834)', 'core_size': 'core_size percentile: 91.57894736842105(+0.08421052631578946)'}",LOC,190
18,[],ReactiveX/RxAndroid,1059,100,Hierarchical,False,0.0,18.2,25.62,0.0,6.4,9.442870632672333,2.22,1.21,0.33,0.68,"{'useful_comment_density': 'useful_comment_density percentile: 32.89473684210526(+0.3289473684210526)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 37.5(+0.625)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 94.73684210526316(+0.052631578947368356)', 'propagation_cost': 'propagation_cost percentile: 71.05263157894737(+0.2894736842105263)', 'core_size': 'core_size percentile: 7.894736842105263(+0.9210526315789473)'}",LOC,76
19,"['java', 'concurrent-programming', 'algorithm', 'basic-java', 'netty', 'jvm']",crossoverJie/JCSprout,2624,20,Hierarchical,False,2.2,75.0,1.9140000000000001,0.0,25.8,0.7621951219512195,4.25,1.91,0.82,1.52,"{'useful_comment_density': 'useful_comment_density percentile: 81.72043010752688(+0.8172043010752688)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 23.118279569892472(+0.7688172043010753)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 25.268817204301076(+0.7473118279569892)', 'propagation_cost': 'propagation_cost percentile: 0.5376344086021505(+0.9946236559139785)', 'core_size': 'core_size percentile: 8.602150537634408(+0.913978494623656)'}",LOC,186
