,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count
1,"['vue', 'javascript', 'frontend', 'framework']",vuejs/vue,102940,83607,Hierarchical,False,0.8,58.5,0.621,0.2,13.5,81.21915679036333,1.48,0.73,0.43,0.32,"{'useful_comment_density': 'useful_comment_density percentile: 43.333333333333336(+0.43333333333333335)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 76.66666666666667(+0.23333333333333328)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 91.66666666666667(+0.08333333333333329)', 'propagation_cost': 'propagation_cost percentile: 65.0(+0.35)', 'core_size': 'core_size percentile: 61.666666666666664(+0.38333333333333336)'}",LOC,60
2,"['javascript', 'react', 'frontend', 'declarative', 'ui', 'library']",facebook/react,98454,20840,Hierarchical,False,0.3,26.7,0.162,0.0,11.6,21.16724561724257,2.85,1.37,0.35,1.13,"{'useful_comment_density': 'useful_comment_density percentile: 35.483870967741936(+0.3548387096774194)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 32.25806451612903(+0.6774193548387097)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 54.83870967741935(+0.4516129032258065)', 'propagation_cost': 'propagation_cost percentile: 20.967741935483872(+0.7903225806451613)', 'core_size': 'core_size percentile: 41.935483870967744(+0.5806451612903225)'}",LOC,62
4,"['javascript', 'eslint', 'naming-conventions', 'arrow-functions', 'style-guide', 'style-linter', 'es6', 'es2015', 'linting', 'styleguide', 'es2016', 'es2017', 'es2018', 'tc39']",airbnb/javascript,1340,134,Hierarchical,False,0.0,27.3,5.372000000000001,0.0,60.7,10.0,3.02,1.26,1.0,0.76,"{'useful_comment_density': 'useful_comment_density percentile: 100.0(+1.0)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 50.714285714285715(+0.4928571428571428)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 72.85714285714286(+0.2714285714285714)', 'propagation_cost': 'propagation_cost percentile: 38.57142857142857(+0.6142857142857143)', 'core_size': 'core_size percentile: 35.0(+0.65)'}",LOC,70
5,[],facebook/react-native,71363,68293,Hierarchical,False,0.0,0.9,0.105,0.0,20.6,95.69805081064418,3.03,1.73,0.67,0.63,"{'useful_comment_density': 'useful_comment_density percentile: 66.66666666666667(+0.6666666666666667)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 37.17948717948718(+0.6282051282051282)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 100.0(+0.0)', 'propagation_cost': 'propagation_cost percentile: 8.974358974358974(+0.9102564102564102)', 'core_size': 'core_size percentile: 17.94871794871795(+0.8205128205128205)'}",LOC,78
6,"['react', 'zero-configuration', 'build-tools']",facebook/create-react-app,8185,286,Hierarchical,False,0.7,53.7,0.737,0.0,16.4,3.4941967012828345,3.2,1.4,0.55,1.25,"{'useful_comment_density': 'useful_comment_density percentile: 55.333333333333336(+0.5533333333333333)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 47.666666666666664(+0.5233333333333333)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 27.333333333333332(+0.7266666666666667)', 'propagation_cost': 'propagation_cost percentile: 16.0(+0.84)', 'core_size': 'core_size percentile: 43.666666666666664(+0.5633333333333334)'}",LOC,150
9,"['http-client', 'javascript', 'nodejs', 'promise']",axios/axios,4648,375,Hierarchical,False,0.0,6.7,1.173,0.0,17.7,8.067986230636832,3.31,1.6,0.7,1.01,"{'useful_comment_density': 'useful_comment_density percentile: 70.0(+0.7)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 49.61538461538461(+0.5038461538461538)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 49.23076923076923(+0.5076923076923077)', 'propagation_cost': 'propagation_cost percentile: 13.846153846153847(+0.8615384615384616)', 'core_size': 'core_size percentile: 25.76923076923077(+0.7423076923076922)'}",LOC,130
8,"['fontawesome', 'icons', 'webfont', 'font', 'css', 'svg-icons', 'svg-sprites']",FortAwesome/Font-Awesome,98037,58551,Hierarchical,False,0.0,0.0,0.032,0.0,0.3,59.72336974815631,2.76,1.87,0.02,0.87,"{'useful_comment_density': 'useful_comment_density percentile: 1.5873015873015872(+0.015873015873015872)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 32.53968253968254(+0.6746031746031746)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 80.95238095238095(+0.19047619047619052)', 'propagation_cost': 'propagation_cost percentile: 0.0(+1.0)', 'core_size': 'core_size percentile: 12.698412698412698(+0.873015873015873)'}",LOC,63
7,[],angular/angular.js,199717,115330,Hierarchical,False,0.0,2.2,0.085,0.0,12.0,57.74671159690963,3.38,1.8,0.44,1.14,"{'useful_comment_density': 'useful_comment_density percentile: 44.0(+0.44)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 26.0(+0.74)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 60.0(+0.4)', 'propagation_cost': 'propagation_cost percentile: 12.0(+0.88)', 'core_size': 'core_size percentile: 8.0(+0.92)'}",NEAREST,25
10,"['javascript', '3d', 'scene-graph', 'html5', 'svg', 'canvas', 'webgl', 'webvr']",mrdoob/three.js,230913,152542,Hierarchical,False,1.7,29.7,0.564,0.8,10.3,66.060377718015,1.12,0.56,0.24,0.32,"{'useful_comment_density': 'useful_comment_density percentile: 24.0(+0.24)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 100.0(+0.0)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 68.0(+0.32)', 'propagation_cost': 'propagation_cost percentile: 64.0(+0.36)', 'core_size': 'core_size percentile: 80.0(+0.2)'}",NEAREST,25
14,"['headless-chrome', 'testing', 'web', 'developer-tools', 'node-module', 'automation']",GoogleChrome/puppeteer,17358,2016,Hierarchical,False,0.0,19.7,0.495,0.0,13.7,11.61424127203595,3.07,1.6,0.5,0.97,"{'useful_comment_density': 'useful_comment_density percentile: 50.3448275862069(+0.503448275862069)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 46.206896551724135(+0.5379310344827587)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 56.55172413793103(+0.4344827586206897)', 'propagation_cost': 'propagation_cost percentile: 20.689655172413794(+0.7931034482758621)', 'core_size': 'core_size percentile: 19.310344827586206(+0.806896551724138)'}",LOC,145
13,['redux'],reduxjs/redux,6263,291,Hierarchical,False,1.4,29.4,1.435,0.0,11.4,4.6463356219064345,2.66,1.11,0.43,1.12,"{'useful_comment_density': 'useful_comment_density percentile: 42.94871794871795(+0.4294871794871795)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 49.03846153846154(+0.5096153846153846)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 38.46153846153846(+0.6153846153846154)', 'propagation_cost': 'propagation_cost percentile: 33.97435897435897(+0.6602564102564102)', 'core_size': 'core_size percentile: 54.80769230769231(+0.4519230769230769)'}",LOC,156
17,"['material-ui', 'google-material', 'react-components', 'react', 'javascript', 'material-design', 'material']",mui-org/material-ui,113425,7756,Hierarchical,False,0.1,81.7,0.039,0.0,5.0,6.837998677540225,3.32,1.7,0.12,1.5,"{'useful_comment_density': 'useful_comment_density percentile: 12.068965517241379(+0.12068965517241378)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 32.758620689655174(+0.6724137931034483)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 17.24137931034483(+0.8275862068965517)', 'propagation_cost': 'propagation_cost percentile: 3.4482758620689653(+0.9655172413793103)', 'core_size': 'core_size percentile: 26.724137931034484(+0.7327586206896552)'}",LOC,58
11,"['atom', 'editor', 'javascript', 'electron', 'windows', 'linux', 'macos']",atom/atom,104926,2487,Hierarchical,False,0.0,7.6,0.298,0.0,6.6,2.3702418847568762,3.34,1.5,0.2,1.64,"{'useful_comment_density': 'useful_comment_density percentile: 19.672131147540984(+0.19672131147540983)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 31.147540983606557(+0.6885245901639344)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 4.918032786885246(+0.9508196721311475)', 'propagation_cost': 'propagation_cost percentile: 37.704918032786885(+0.6229508196721312)', 'core_size': 'core_size percentile: 12.295081967213115(+0.8770491803278688)'}",LOC,61
