,topics,project_name,useful_lines_of_code_(uloc),duplicate_uloc,architecture_type,core,core_size,central_size,propagation_cost,percent_files_overly_complex,useful_comment_density,percent_duplicate_uloc,overall_score,architecture_score,clarity_score,complexity_score,explanation,benchmark_selection,benchmark_count
672,[],PaddlePaddle/models,239744,27544,Hierarchical,False,0.3,23.2,0.535,0.3,7.0,11.488921516284037,3.12,1.72,0.44,0.96,"{'useful_comment_density': 'useful_comment_density percentile: 44.0(+0.44)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 12.0(+0.88)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 92.0(+0.08)', 'propagation_cost': 'propagation_cost percentile: 12.0(+0.88)', 'core_size': 'core_size percentile: 16.0(+0.84)'}",NEAREST,25
3,[],tensorflow/models,239744,27544,Hierarchical,False,0.3,23.2,0.535,0.3,7.0,11.488921516284037,3.12,1.72,0.44,0.96,"{'useful_comment_density': 'useful_comment_density percentile: 44.0(+0.44)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 12.0(+0.88)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 92.0(+0.08)', 'propagation_cost': 'propagation_cost percentile: 12.0(+0.88)', 'core_size': 'core_size percentile: 16.0(+0.84)'}",NEAREST,25
4,[],ytdl-org/youtube-dl,119184,530,Hierarchical,False,2.8,89.8,7.428,0.9,3.9,0.44469056249160965,3.2,1.26,0.18,1.76,"{'useful_comment_density': 'useful_comment_density percentile: 18.42105263157895(+0.1842105263157895)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 18.42105263157895(+0.8157894736842105)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 5.2631578947368425(+0.9473684210526315)', 'propagation_cost': 'propagation_cost percentile: 39.473684210526315(+0.6052631578947368)', 'core_size': 'core_size percentile: 34.21052631578947(+0.6578947368421052)'}",LOC,38
5,"['python', 'flask', 'wsgi', 'web-framework', 'werkzeug', 'jinja']",pallets/flask,9380,106,Core-Periphery,True,13.7,52.1,13.455,1.4,9.0,1.1300639658848615,2.57,0.65,0.62,1.3,"{'useful_comment_density': 'useful_comment_density percentile: 62.20472440944882(+0.6220472440944882)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 49.21259842519685(+0.5078740157480315)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 20.47244094488189(+0.795275590551181)', 'propagation_cost': 'propagation_cost percentile: 48.031496062992126(+0.5196850393700787)', 'core_size': 'core_size percentile: 87.4015748031496(+0.125984251968504)'}",LOC,127
6,"['deep-learning', 'tensorflow', 'neural-networks', 'machine-learning', 'data-science', 'python']",keras-team/keras,43750,4454,Core-Periphery,True,37.0,53.1,37.972,3.1,7.6,10.18057142857143,1.21,0.11,0.49,0.61,"{'useful_comment_density': 'useful_comment_density percentile: 49.333333333333336(+0.49333333333333335)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 58.666666666666664(+0.41333333333333333)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 80.0(+0.2)', 'propagation_cost': 'propagation_cost percentile: 93.33333333333333(+0.06666666666666671)', 'core_size': 'core_size percentile: 96.0(+0.04)'}",LOC,75
7,"['python', 'django', 'web', 'framework', 'orm', 'templates', 'models', 'views', 'apps']",django/django,232030,5101,Borderline Core-Periphery,True,4.6,60.6,6.176,5.1,8.9,2.1984226177649444,2.72,0.96,0.48,1.28,"{'useful_comment_density': 'useful_comment_density percentile: 48.0(+0.48)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 52.0(+0.48)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 20.0(+0.8)', 'propagation_cost': 'propagation_cost percentile: 40.0(+0.6)', 'core_size': 'core_size percentile: 64.0(+0.36)'}",NEAREST,25
8,"['http', 'cli', 'client', 'terminal', 'web', 'json', 'development', 'rest', 'debugging', 'python', 'usability', 'httpie', 'developer-tools', 'http-client', 'wget', 'curl', 'jakubroztocil', 'devops', 'api', 'api-client']",jakubroztocil/httpie,4370,24,Core-Periphery,True,8.0,6.0,31.36,0.0,7.9,0.5491990846681922,2.25,0.33,0.38,1.54,"{'useful_comment_density': 'useful_comment_density percentile: 38.01652892561984(+0.38016528925619836)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 28.925619834710744(+0.7107438016528925)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 17.355371900826448(+0.8264462809917356)', 'propagation_cost': 'propagation_cost percentile: 93.38842975206612(+0.06611570247933883)', 'core_size': 'core_size percentile: 73.55371900826447(+0.2644628099173553)'}",LOC,121
10,"['python', 'http', 'forhumans', 'requests', 'kennethreitz', 'python-requests', 'client']",psf/requests,5710,20,Borderline Core-Periphery,True,5.7,51.4,10.694,2.9,14.9,0.3502626970227671,3.13,1.09,0.9,1.14,"{'useful_comment_density': 'useful_comment_density percentile: 90.2439024390244(+0.9024390243902439)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 72.35772357723577(+0.2764227642276423)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 13.821138211382113(+0.8617886178861789)', 'propagation_cost': 'propagation_cost percentile: 26.016260162601625(+0.7398373983739838)', 'core_size': 'core_size percentile: 65.04065040650407(+0.3495934959349593)'}",LOC,123
11,"['python', 'ansible']",ansible/ansible,1443475,219061,Hierarchical,False,0.2,50.6,1.162,1.2,3.0,15.175946933615062,2.92,1.72,0.2,1.0,"{'useful_comment_density': 'useful_comment_density percentile: 20.0(+0.2)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 24.0(+0.76)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 76.0(+0.24)', 'propagation_cost': 'propagation_cost percentile: 20.0(+0.8)', 'core_size': 'core_size percentile: 8.0(+0.92)'}",NEAREST,25
12,"['machine-learning', 'python', 'statistics', 'data-science', 'data-analysis']",scikit-learn/scikit-learn,120295,2601,Core-Periphery,True,13.4,55.9,15.18,1.1,13.0,2.1621846294525957,3.09,0.61,0.87,1.61,"{'useful_comment_density': 'useful_comment_density percentile: 86.84210526315789(+0.8684210526315789)', 'percent_files_overly_complex': 'percent_files_overly_complex percentile: 26.31578947368421(+0.736842105263158)', 'percent_duplicate_uloc': 'percent_duplicate_uloc percentile: 13.157894736842104(+0.8684210526315789)', 'propagation_cost': 'propagation_cost percentile: 63.1578947368421(+0.368421052631579)', 'core_size': 'core_size percentile: 76.3157894736842(+0.23684210526315794)'}",LOC,38
